Country,League,Season,Date,Homeoraway,Team,HTTeamGoals,TeamGoals,TeamShots,TeamShotsOnTarget,TeamFouls,TeamCorners,TeamYellow,TeamRed,Opponent,HTOpponentGoals,OpponentGoals,OpponentShots,OpponentShotOnTarget,OpponentFouls,OpponentCorners,OpponentYellow,OpponentRed,FavouriteResult,HTResult,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,OddsOver2.5Goals,OddsUnder2.5Goals,FavouriteOU2.5,ResultBetWin,ResultBetDraw,ResultBetLose,ResultBetOver2.5,ResultBetUnder2.5
ITALY,SERIAA,20/21,30/09/20,Home,Udinese,0,0,10,5,13,2,0,0,Spezia,1,2,4,3,17,2,5,1,Favourite,Lose,Lose,2,1.6,3.75,5.75,2,1.8,FavUnder,-1,-1,4.75,-1,0.8
ITALY,SERIAA,20/21,02/10/20,Home,Fiorentina,0,1,16,6,11,8,0,0,Sampdoria,1,2,14,10,16,4,3,0,Favourite,Lose,Lose,3,1.61,4,5.25,1.66,2.2,FavOver,-1,-1,4.25,0.66,-1
ITALY,SERIAA,20/21,26/09/20,Home,Sampdoria,2,2,5,4,17,6,3,0,Benevento,1,3,11,6,12,4,1,0,Favourite,Win,Lose,5,2,3.6,3.6,1.8,2,FavOver,-1,-1,2.6,0.8,-1
ITALY,SERIAA,20/21,18/10/20,Home,Torino,1,2,10,6,14,2,2,1,Cagliari,2,3,9,7,16,4,3,0,Favourite,Lose,Lose,5,2.1,3.5,3.4,1.9,1.9,FavOver,-1,-1,2.4,0.9,-1
ITALY,SERIAA,20/21,17/10/20,Away,Lazio,0,0,8,1,10,3,2,0,Sampdoria,2,3,11,8,12,3,2,0,Favourite,Lose,Lose,3,2.15,3.5,3.3,1.66,2.2,FavOver,-1,-1,2.3,0.66,-1
ITALY,SERIAA,20/21,04/10/20,Away,Bologna,0,0,13,7,15,10,1,0,Benevento,0,1,6,3,13,4,2,0,Favourite,Draw,Lose,1,2.2,3.6,3.1,1.66,2.2,FavOver,-1,-1,2.1,-1,1.2
ITALY,SERIAA,20/21,17/10/20,Home,Inter,1,1,12,6,18,3,3,0,Milan,2,2,8,4,11,5,4,0,Favourite,Lose,Lose,3,2.3,3.5,3,1.72,2.1,FavOver,-1,-1,2,0.72,-1
ITALY,SERIAA,20/21,04/10/20,Away,Verona,0,0,8,5,19,6,1,0,Parma,1,1,7,5,11,7,1,0,Favourite,Lose,Lose,1,2.62,3.1,2.87,2.1,1.72,FavUnder,-1,-1,1.87,-1,0.72
ITALY,SERIAA,20/21,27/09/20,Away,Udinese,0,0,14,6,13,9,0,0,Verona,0,1,8,2,13,1,1,0,NotFavourite,Draw,Lose,1,2.8,3,2.7,2.3,1.61,FavUnder,-1,-1,1.7,-1,0.61
ITALY,SERIAA,20/21,30/09/20,Home,Lazio,0,1,11,8,16,7,7,0,Atalanta,3,4,8,6,11,3,2,0,NotFavourite,Lose,Lose,5,2.55,3.5,2.55,1.53,2.5,FavOver,-1,-1,1.55,0.53,-1
ITALY,SERIAA,20/21,17/10/20,Away,Atalanta,0,1,11,3,23,2,3,0,Napoli,4,4,18,14,12,6,1,0,NotFavourite,Lose,Lose,5,2.55,3.8,2.5,1.44,2.75,FavOver,-1,-1,1.5,0.44,-1
ITALY,SERIAA,20/21,18/10/20,Home,Bologna,2,3,11,7,20,7,2,0,Sassuolo,1,4,20,12,12,11,2,0,NotFavourite,Win,Lose,7,2.9,3.6,2.3,1.53,2.5,FavOver,-1,-1,1.3,0.53,-1
ITALY,SERIAA,20/21,28/09/20,Away,Parma,0,1,8,4,9,9,2,1,Bologna,2,4,11,8,12,8,1,0,NotFavourite,Lose,Lose,5,3.6,3.6,1.95,1.8,2,FavOver,-1,-1,0.95,0.8,-1
ITALY,SERIAA,20/21,20/09/20,Away,Crotone,1,1,11,5,14,4,2,0,Genoa,3,4,10,8,13,6,4,0,NotFavourite,Lose,Lose,5,4,3.6,1.9,1.9,1.9,FavOver,-1,-1,0.9,0.9,-1
ITALY,SERIAA,20/21,19/09/20,Away,Torino,0,0,6,3,20,1,1,0,Fiorentina,0,1,17,8,17,4,3,0,NotFavourite,Draw,Lose,1,4.2,3.75,1.83,1.8,2,FavOver,-1,-1,0.83,-1,1
ITALY,SERIAA,20/21,03/10/20,Home,Udinese,0,0,9,5,15,4,1,0,Roma,0,1,8,3,10,1,0,0,NotFavourite,Draw,Lose,1,5,4,1.66,1.72,2.1,FavOver,-1,-1,0.66,-1,1.1
ITALY,SERIAA,20/21,27/09/20,Home,Spezia,1,1,11,6,13,3,2,0,Sassuolo,1,4,10,8,8,5,1,0,NotFavourite,Draw,Lose,5,4.75,4,1.66,1.72,2.1,FavOver,-1,-1,0.66,0.72,-1
ITALY,SERIAA,20/21,26/09/20,Home,Cagliari,0,0,9,3,8,3,1,0,Lazio,1,2,9,7,13,6,1,0,NotFavourite,Lose,Lose,2,5,4,1.66,1.66,2.2,FavOver,-1,-1,0.66,-1,1.2
ITALY,SERIAA,20/21,26/09/20,Home,Torino,2,2,5,5,11,2,1,0,Atalanta,3,4,12,7,12,6,2,0,NotFavourite,Lose,Lose,6,4.75,4.4,1.61,1.57,2.37,FavOver,-1,-1,0.61,0.57,-1
ITALY,SERIAA,20/21,20/09/20,Home,Parma,0,0,4,2,16,4,4,0,Napoli,0,2,12,7,12,2,1,0,NotFavourite,Draw,Lose,2,5.25,4.2,1.61,1.61,2.3,FavOver,-1,-1,0.61,-1,1.3
ITALY,SERIAA,20/21,21/09/20,Away,Bologna,0,0,6,5,17,4,5,1,Milan,1,2,14,6,13,7,3,0,NotFavourite,Lose,Lose,2,5.5,4.33,1.57,1.57,2.37,FavOver,-1,-1,0.57,-1,1.37
ITALY,SERIAA,20/21,27/09/20,Home,Crotone,0,0,5,1,14,2,1,0,Milan,1,2,11,7,15,5,3,0,NotFavourite,Lose,Lose,2,6,4.5,1.5,1.66,2.2,FavOver,-1,-1,0.5,-1,1.2
ITALY,SERIAA,20/21,26/09/20,Away,Fiorentina,1,3,8,4,10,1,1,0,Inter,1,4,12,6,15,5,1,0,NotFavourite,Draw,Lose,7,6,4.5,1.5,1.66,2.2,FavOver,-1,-1,0.5,0.66,-1
ITALY,SERIAA,20/21,03/10/20,Away,Crotone,0,1,10,6,15,4,3,0,Sassuolo,1,4,7,4,15,3,2,0,NotFavourite,Lose,Lose,5,7,5,1.4,1.57,2.37,FavOver,-1,-1,0.4,0.57,-1
ITALY,SERIAA,20/21,30/09/20,Home,Benevento,1,2,11,7,10,5,1,0,Inter,4,5,18,12,15,1,0,0,NotFavourite,Lose,Lose,7,9,4.75,1.36,1.53,2.5,FavOver,-1,-1,0.36,0.53,-1
ITALY,SERIAA,20/21,27/09/20,Away,Genoa,0,0,3,1,13,2,2,0,Napoli,1,6,18,11,6,4,1,0,NotFavourite,Lose,Lose,6,10,5.5,1.3,1.57,2.37,FavOver,-1,-1,0.3,0.57,-1
ITALY,SERIAA,20/21,04/10/20,Away,Spezia,0,0,3,2,19,6,2,0,Milan,0,3,10,5,14,4,1,0,NotFavourite,Draw,Lose,3,11,5.5,1.28,1.57,2.37,FavOver,-1,-1,0.28,0.57,-1
ITALY,SERIAA,20/21,20/09/20,Away,Sampdoria,0,0,10,2,9,4,1,0,Juventus,1,3,14,9,15,6,1,0,NotFavourite,Lose,Lose,3,10.5,5.5,1.28,1.57,2.37,FavOver,-1,-1,0.28,0.57,-1
ITALY,SERIAA,20/21,04/10/20,Away,Cagliari,1,2,7,3,9,9,0,0,Atalanta,4,5,19,14,11,3,0,0,NotFavourite,Lose,Lose,7,10,6.5,1.25,1.36,3.2,FavOver,-1,-1,0.25,0.36,-1
ITALY,SERIAA,20/21,18/10/20,Home,Spezia,1,2,6,2,15,5,2,0,Fiorentina,2,2,7,6,18,5,2,0,NotFavourite,Lose,Draw,4,5.25,4,1.61,1.72,2.1,FavOver,-1,3,-1,0.72,-1
ITALY,SERIAA,20/21,17/10/20,Home,Napoli,4,4,18,14,12,6,1,0,Atalanta,0,1,11,3,23,2,3,0,Favourite,Win,Win,5,2.5,3.8,2.55,1.44,2.75,FavOver,1.5,-1,-1,0.44,-1
ITALY,SERIAA,20/21,17/10/20,Home,Sampdoria,2,3,11,8,12,3,2,0,Lazio,0,0,8,1,10,3,2,0,NotFavourite,Win,Win,3,3.3,3.5,2.15,1.66,2.2,FavOver,2.3,-1,-1,0.66,-1
ITALY,SERIAA,20/21,17/10/20,Home,Crotone,1,1,9,3,17,3,3,0,Juventus,1,1,8,3,14,4,3,1,NotFavourite,Draw,Draw,2,6.5,4.5,1.45,1.72,2.1,FavOver,-1,3.5,-1,-1,1.1
ITALY,SERIAA,20/21,17/10/20,Away,Milan,2,2,8,4,11,5,4,0,Inter,1,1,12,6,18,3,3,0,NotFavourite,Win,Win,3,3,3.5,2.3,1.72,2.1,FavOver,2,-1,-1,0.72,-1
ITALY,SERIAA,20/21,17/10/20,Away,Juventus,1,1,8,3,14,4,3,1,Crotone,1,1,9,3,17,3,3,0,Favourite,Draw,Draw,2,1.45,4.5,6.5,1.72,2.1,FavOver,-1,3.5,-1,-1,1.1
ITALY,SERIAA,20/21,04/10/20,Home,Atalanta,4,5,19,14,11,3,0,0,Cagliari,1,2,7,3,9,9,0,0,Favourite,Win,Win,7,1.25,6.5,10,1.36,3.2,FavOver,0.25,-1,-1,0.36,-1
ITALY,SERIAA,20/21,04/10/20,Home,Benevento,0,1,6,3,13,4,2,0,Bologna,0,0,13,7,15,10,1,0,NotFavourite,Draw,Win,1,3.1,3.6,2.2,1.66,2.2,FavOver,2.1,-1,-1,-1,1.2
ITALY,SERIAA,20/21,04/10/20,Home,Lazio,0,1,11,5,14,7,3,1,Inter,1,1,10,4,13,8,4,1,NotFavourite,Lose,Draw,2,3.1,3.7,2.2,1.53,2.5,FavOver,-1,2.7,-1,-1,1.5
ITALY,SERIAA,20/21,04/10/20,Home,Parma,1,1,7,5,11,7,1,0,Verona,0,0,8,5,19,6,1,0,NotFavourite,Win,Win,1,2.87,3.1,2.62,2.1,1.72,FavUnder,1.87,-1,-1,-1,0.72
ITALY,SERIAA,20/21,04/10/20,Home,Milan,0,3,10,5,14,4,1,0,Spezia,0,0,3,2,19,6,2,0,Favourite,Draw,Win,3,1.28,5.5,11,1.57,2.37,FavOver,0.28,-1,-1,0.57,-1
ITALY,SERIAA,20/21,04/10/20,Away,Inter,1,1,10,4,13,8,4,1,Lazio,0,1,11,5,14,7,3,1,Favourite,Win,Draw,2,2.2,3.7,3.1,1.53,2.5,FavOver,-1,2.7,-1,-1,1.5
ITALY,SERIAA,20/21,03/10/20,Home,Sassuolo,1,4,7,4,15,3,2,0,Crotone,0,1,10,6,15,4,3,0,Favourite,Win,Win,5,1.4,5,7,1.57,2.37,FavOver,0.4,-1,-1,0.57,-1
ITALY,SERIAA,20/21,03/10/20,Away,Roma,0,1,8,3,10,1,0,0,Udinese,0,0,9,5,15,4,1,0,Favourite,Draw,Win,1,1.66,4,5,1.72,2.1,FavOver,0.66,-1,-1,-1,1.1
ITALY,SERIAA,20/21,02/10/20,Away,Sampdoria,1,2,14,10,16,4,3,0,Fiorentina,0,1,16,6,11,8,0,0,NotFavourite,Win,Win,3,5.25,4,1.61,1.66,2.2,FavOver,4.25,-1,-1,0.66,-1
ITALY,SERIAA,20/21,30/09/20,Away,Inter,4,5,18,12,15,1,0,0,Benevento,1,2,11,7,10,5,1,0,Favourite,Win,Win,7,1.36,4.75,9,1.53,2.5,FavOver,0.36,-1,-1,0.53,-1
ITALY,SERIAA,20/21,30/09/20,Away,Spezia,1,2,4,3,17,2,5,1,Udinese,0,0,10,5,13,2,0,0,NotFavourite,Win,Win,2,5.75,3.75,1.6,2,1.8,FavUnder,4.75,-1,-1,-1,0.8
ITALY,SERIAA,20/21,30/09/20,Away,Atalanta,3,4,8,6,11,3,2,0,Lazio,0,1,11,8,16,7,7,0,NotFavourite,Win,Win,5,2.55,3.5,2.55,1.53,2.5,FavOver,1.55,-1,-1,0.53,-1
ITALY,SERIAA,20/21,28/09/20,Home,Bologna,2,4,11,8,12,8,1,0,Parma,0,1,8,4,9,9,2,1,Favourite,Win,Win,5,1.95,3.6,3.6,1.8,2,FavOver,0.95,-1,-1,0.8,-1
ITALY,SERIAA,20/21,27/09/20,Home,Napoli,1,6,18,11,6,4,1,0,Genoa,0,0,3,1,13,2,2,0,Favourite,Win,Win,6,1.3,5.5,10,1.57,2.37,FavOver,0.3,-1,-1,0.57,-1
ITALY,SERIAA,20/21,27/09/20,Home,Verona,0,1,8,2,13,1,1,0,Udinese,0,0,14,6,13,9,0,0,Favourite,Draw,Win,1,2.7,3,2.8,2.3,1.61,FavUnder,1.7,-1,-1,-1,0.61
ITALY,SERIAA,20/21,27/09/20,Home,Roma,2,2,7,6,19,5,2,0,Juventus,1,2,6,3,9,7,3,1,NotFavourite,Win,Draw,4,3.6,3.6,2,1.72,2.1,FavOver,-1,2.6,-1,0.72,-1
ITALY,SERIAA,20/21,27/09/20,Away,Sassuolo,1,4,10,8,8,5,1,0,Spezia,1,1,11,6,13,3,2,0,Favourite,Draw,Win,5,1.66,4,4.75,1.72,2.1,FavOver,0.66,-1,-1,0.72,-1
ITALY,SERIAA,20/21,27/09/20,Away,Milan,1,2,11,7,15,5,3,0,Crotone,0,0,5,1,14,2,1,0,Favourite,Win,Win,2,1.5,4.5,6,1.66,2.2,FavOver,0.5,-1,-1,-1,1.2
ITALY,SERIAA,20/21,27/09/20,Away,Juventus,1,2,6,3,9,7,3,1,Roma,2,2,7,6,19,5,2,0,Favourite,Lose,Draw,4,2,3.6,3.6,1.72,2.1,FavOver,-1,2.6,-1,0.72,-1
ITALY,SERIAA,20/21,26/09/20,Home,Inter,1,4,12,6,15,5,1,0,Fiorentina,1,3,8,4,10,1,1,0,Favourite,Draw,Win,7,1.5,4.5,6,1.66,2.2,FavOver,0.5,-1,-1,0.66,-1
ITALY,SERIAA,20/21,26/09/20,Away,Atalanta,3,4,12,7,12,6,2,0,Torino,2,2,5,5,11,2,1,0,Favourite,Win,Win,6,1.61,4.4,4.75,1.57,2.37,FavOver,0.61,-1,-1,0.57,-1
ITALY,SERIAA,20/21,26/09/20,Away,Lazio,1,2,9,7,13,6,1,0,Cagliari,0,0,9,3,8,3,1,0,Favourite,Win,Win,2,1.66,4,5,1.66,2.2,FavOver,0.66,-1,-1,-1,1.2
ITALY,SERIAA,20/21,26/09/20,Away,Benevento,1,3,11,6,12,4,1,0,Sampdoria,2,2,5,4,17,6,3,0,NotFavourite,Lose,Win,5,3.6,3.6,2,1.8,2,FavOver,2.6,-1,-1,0.8,-1
ITALY,SERIAA,20/21,21/09/20,Home,Milan,1,2,14,6,13,7,3,0,Bologna,0,0,6,5,17,4,5,1,Favourite,Win,Win,2,1.57,4.33,5.5,1.57,2.37,FavOver,0.57,-1,-1,-1,1.37
ITALY,SERIAA,20/21,20/09/20,Home,Genoa,3,4,10,8,13,6,4,0,Crotone,1,1,11,5,14,4,2,0,Favourite,Win,Win,5,1.9,3.6,4,1.9,1.9,FavOver,0.9,-1,-1,0.9,-1
ITALY,SERIAA,20/21,20/09/20,Home,Sassuolo,0,1,21,10,9,7,1,0,Cagliari,0,1,8,4,18,3,3,0,Favourite,Draw,Draw,2,1.95,3.75,3.75,1.57,2.37,FavOver,-1,2.75,-1,-1,1.37
ITALY,SERIAA,20/21,20/09/20,Home,Juventus,1,3,14,9,15,6,1,0,Sampdoria,0,0,10,2,9,4,1,0,Favourite,Win,Win,3,1.28,5.5,10.5,1.57,2.37,FavOver,0.28,-1,-1,0.57,-1
ITALY,SERIAA,20/21,20/09/20,Away,Napoli,0,2,12,7,12,2,1,0,Parma,0,0,4,2,16,4,4,0,Favourite,Draw,Win,2,1.61,4.2,5.25,1.61,2.3,FavOver,0.61,-1,-1,-1,1.3
ITALY,SERIAA,20/21,20/09/20,Away,Cagliari,0,1,8,4,18,3,3,0,Sassuolo,0,1,21,10,9,7,1,0,NotFavourite,Draw,Draw,2,3.75,3.75,1.95,1.57,2.37,FavOver,-1,2.75,-1,-1,1.37
ITALY,SERIAA,20/21,19/09/20,Home,Fiorentina,0,1,17,8,17,4,3,0,Torino,0,0,6,3,20,1,1,0,Favourite,Draw,Win,1,1.83,3.75,4.2,1.8,2,FavOver,0.83,-1,-1,-1,1
ITALY,SERIAA,20/21,19/09/20,Home,Verona,0,0,9,7,19,0,2,0,Roma,0,0,15,7,20,6,0,0,NotFavourite,Draw,Draw,0,3.75,3.5,1.95,1.8,2,FavOver,-1,2.5,-1,-1,1
ITALY,SERIAA,20/21,19/09/20,Away,Roma,0,0,15,7,20,6,0,0,Verona,0,0,9,7,19,0,2,0,Favourite,Draw,Draw,0,1.95,3.5,3.75,1.8,2,FavOver,-1,2.5,-1,-1,1
ITALY,SERIAA,19/20,25/09/19,Home,Napoli,0,0,17,8,9,13,1,1,Cagliari,0,1,5,1,13,1,1,0,Favourite,Draw,Lose,1,1.2,7,13,1.36,3.2,FavOver,-1,-1,12,-1,2.2
ITALY,SERIAA,19/20,09/02/20,Home,Napoli,0,2,19,9,14,10,5,0,Lecce,1,3,13,10,10,4,3,0,Favourite,Lose,Lose,5,1.2,6.5,13,1.36,3.2,FavOver,-1,-1,12,0.36,-1
ITALY,SERIAA,19/20,20/01/20,Home,Atalanta,1,1,14,8,15,8,2,0,Spal,0,2,13,7,17,4,3,0,Favourite,Win,Lose,3,1.2,7.5,12,1.4,3,FavOver,-1,-1,11,0.4,-1
ITALY,SERIAA,19/20,03/11/19,Home,Atalanta,0,0,11,3,15,13,2,1,Cagliari,1,2,12,8,18,2,3,0,Favourite,Lose,Lose,2,1.28,5.5,11,1.4,3,FavOver,-1,-1,10,-1,2
ITALY,SERIAA,19/20,14/12/19,Home,Napoli,0,1,22,9,9,11,2,0,Parma,1,2,7,5,12,1,2,0,Favourite,Lose,Lose,3,1.3,5.5,10,1.53,2.5,FavOver,-1,-1,9,0.53,-1
ITALY,SERIAA,19/20,07/07/20,Away,Lazio,1,1,14,10,11,14,3,1,Lecce,1,2,7,3,8,3,3,0,Favourite,Draw,Lose,3,1.36,5.25,8,1.36,3.2,FavOver,-1,-1,7,0.36,-1
ITALY,SERIAA,19/20,30/11/19,Home,Fiorentina,0,0,13,6,13,9,1,0,Lecce,0,1,6,6,21,2,3,0,Favourite,Draw,Lose,1,1.4,4.75,7.5,1.5,2.62,FavOver,-1,-1,6.5,-1,1.62
ITALY,SERIAA,19/20,08/02/20,Away,Juventus,0,1,10,5,18,4,3,0,Verona,0,2,9,5,11,3,2,0,Favourite,Draw,Lose,3,1.5,4,7.5,1.9,1.9,FavUnder,-1,-1,6.5,0.9,-1
ITALY,SERIAA,19/20,01/12/19,Home,Napoli,1,1,20,5,12,7,1,0,Bologna,0,2,9,6,10,0,5,0,Favourite,Win,Lose,3,1.45,4.5,7,1.57,2.37,FavOver,-1,-1,6,0.57,-1
ITALY,SERIAA,19/20,05/07/20,Home,Inter,1,1,15,9,16,12,3,1,Bologna,0,2,11,8,12,9,3,1,Favourite,Win,Lose,3,1.5,4.2,7,1.66,2.2,FavOver,-1,-1,6,0.66,-1
ITALY,SERIAA,19/20,16/09/19,Home,Torino,0,1,12,3,11,7,1,0,Lecce,1,2,12,5,19,3,6,0,Favourite,Lose,Lose,3,1.5,4.33,6.5,1.8,2,FavOver,-1,-1,5.5,0.8,-1
ITALY,SERIAA,19/20,05/01/20,Home,Roma,0,0,25,11,10,14,5,0,Torino,1,2,9,6,21,3,2,0,Favourite,Lose,Lose,2,1.5,4.33,6.5,1.61,2.3,FavOver,-1,-1,5.5,-1,1.3
ITALY,SERIAA,19/20,02/07/20,Home,Roma,0,0,9,6,10,10,3,1,Udinese,1,2,8,3,11,7,2,0,Favourite,Lose,Lose,2,1.57,4,6,1.9,1.9,FavUnder,-1,-1,5,-1,0.9
ITALY,SERIAA,19/20,15/09/19,Away,Lazio,1,1,11,7,11,5,3,0,Spal,0,2,9,4,9,8,5,0,Favourite,Win,Lose,3,1.57,4,6,1.72,2.1,FavOver,-1,-1,5,0.72,-1
ITALY,SERIAA,19/20,29/07/20,Away,Juventus,0,0,20,10,12,9,1,0,Cagliari,2,2,9,5,13,1,2,0,Favourite,Lose,Lose,2,1.53,4.2,6,1.66,2.2,FavOver,-1,-1,5,-1,1.2
ITALY,SERIAA,19/20,01/09/19,Home,Atalanta,1,2,19,12,13,12,2,0,Torino,1,3,8,6,15,5,2,0,Favourite,Draw,Lose,5,1.57,4,5.75,1.72,2.1,FavOver,-1,-1,4.75,0.72,-1
ITALY,SERIAA,19/20,02/08/20,Home,Lecce,2,3,12,8,3,5,0,0,Parma,2,4,18,11,7,4,2,0,Favourite,Draw,Lose,7,1.5,4.6,5.75,1.36,3.2,FavOver,-1,-1,4.75,0.36,-1
ITALY,SERIAA,19/20,21/12/19,Home,Torino,1,1,7,6,24,10,5,1,Spal,1,2,7,4,16,3,5,0,Favourite,Draw,Lose,3,1.7,3.6,5.5,2,1.8,FavUnder,-1,-1,4.5,1,-1
ITALY,SERIAA,19/20,18/01/20,Home,Napoli,0,0,10,5,7,4,2,0,Fiorentina,1,2,9,5,10,5,2,0,Favourite,Lose,Lose,2,1.61,4.1,5.5,1.66,2.2,FavOver,-1,-1,4.5,-1,1.2
ITALY,SERIAA,19/20,05/07/20,Away,Verona,0,0,14,9,13,11,1,0,Brescia,0,2,7,6,11,3,3,0,Favourite,Draw,Lose,2,1.61,4,5.5,1.9,1.9,FavUnder,-1,-1,4.5,-1,0.9
ITALY,SERIAA,19/20,22/07/20,Away,Napoli,0,1,12,4,12,3,1,0,Parma,1,2,6,3,8,3,3,0,Favourite,Lose,Lose,3,1.55,4.2,5.5,1.66,2.2,FavOver,-1,-1,4.5,0.66,-1
ITALY,SERIAA,19/20,08/03/20,Home,Milan,0,1,13,4,14,7,0,0,Genoa,2,2,6,3,12,5,0,1,Favourite,Lose,Lose,3,1.66,3.8,5.25,1.9,1.9,FavUnder,-1,-1,4.25,0.9,-1
ITALY,SERIAA,19/20,11/07/20,Home,Lazio,1,1,7,1,13,1,4,0,Sassuolo,0,2,11,4,7,5,2,0,Favourite,Win,Lose,3,1.6,4.2,5.25,1.4,3,FavOver,-1,-1,4.25,0.4,-1
ITALY,SERIAA,19/20,23/07/20,Away,Juventus,1,1,14,6,8,7,2,0,Udinese,0,2,9,4,9,3,2,0,Favourite,Win,Lose,3,1.65,3.75,5.25,1.72,2.1,FavOver,-1,-1,4.25,0.72,-1
ITALY,SERIAA,19/20,07/02/20,Home,Roma,1,2,14,10,11,6,2,1,Bologna,2,3,12,8,16,6,4,0,Favourite,Lose,Lose,5,1.61,4.33,5,1.53,2.5,FavOver,-1,-1,4,0.53,-1
ITALY,SERIAA,19/20,25/08/19,Home,Cagliari,0,0,9,5,10,8,2,0,Brescia,0,1,8,3,11,8,2,0,Favourite,Draw,Lose,1,1.83,3.6,4.33,2,1.8,FavUnder,-1,-1,3.33,-1,0.8
ITALY,SERIAA,19/20,21/09/19,Home,Udinese,0,0,6,3,22,3,4,0,Brescia,0,1,5,3,16,9,4,0,Favourite,Draw,Lose,1,1.9,3.5,4.2,1.9,1.9,FavUnder,-1,-1,3.2,-1,0.9
ITALY,SERIAA,19/20,03/11/19,Home,Genoa,1,1,10,2,11,8,0,0,Udinese,1,3,13,5,13,5,2,0,Favourite,Draw,Lose,4,1.9,3.4,4.2,2,1.8,FavUnder,-1,-1,3.2,1,-1
ITALY,SERIAA,19/20,15/02/20,Home,Bologna,0,0,11,6,19,4,3,2,Genoa,2,3,5,5,13,4,5,0,Favourite,Lose,Lose,3,1.83,3.75,4.2,1.8,2,FavOver,-1,-1,3.2,0.8,-1
ITALY,SERIAA,19/20,25/09/19,Home,Spal,1,1,14,7,13,10,1,0,Lecce,1,3,9,5,11,1,2,0,Favourite,Draw,Lose,4,1.95,3.6,4,1.72,2.1,FavOver,-1,-1,3,0.72,-1
ITALY,SERIAA,19/20,10/11/19,Away,Roma,0,0,10,7,9,10,2,0,Parma,0,2,13,8,16,5,3,0,Favourite,Draw,Lose,2,1.9,3.6,4,1.72,2.1,FavOver,-1,-1,3,-1,1.1
ITALY,SERIAA,19/20,01/02/20,Away,Roma,0,2,19,9,19,11,7,1,Sassuolo,3,4,16,9,6,5,1,0,Favourite,Lose,Lose,6,1.8,4,4,1.57,2.37,FavOver,-1,-1,3,0.57,-1
ITALY,SERIAA,19/20,01/09/19,Home,Lecce,0,0,9,3,14,2,2,0,Verona,0,1,11,6,14,7,3,0,Favourite,Draw,Lose,1,1.95,3.5,3.8,1.9,1.9,FavUnder,-1,-1,2.8,-1,0.9
ITALY,SERIAA,19/20,08/12/19,Home,Spal,0,0,18,4,17,3,3,0,Brescia,0,1,12,7,18,1,3,0,Favourite,Draw,Lose,1,2.05,3.4,3.8,2.2,1.66,FavUnder,-1,-1,2.8,-1,0.66
ITALY,SERIAA,19/20,08/12/19,Home,Sampdoria,0,0,18,6,15,3,3,0,Parma,1,1,10,2,12,2,2,0,Favourite,Lose,Lose,1,2.05,3.3,3.8,2.1,1.72,FavUnder,-1,-1,2.8,-1,0.72
ITALY,SERIAA,19/20,08/03/20,Home,Parma,0,0,11,2,19,4,2,0,Spal,0,1,6,2,22,5,2,0,Favourite,Draw,Lose,1,2,3.4,3.8,2,1.8,FavUnder,-1,-1,2.8,-1,0.8
ITALY,SERIAA,19/20,01/09/19,Home,Udinese,1,1,17,12,11,8,1,0,Parma,1,3,6,3,11,1,3,0,Favourite,Draw,Lose,4,2.05,3.4,3.75,2.2,1.66,FavUnder,-1,-1,2.75,1.2,-1
ITALY,SERIAA,19/20,16/02/20,Home,Sassuolo,0,0,10,5,14,5,5,0,Parma,1,1,6,6,19,3,4,0,Favourite,Lose,Lose,1,2,3.5,3.75,1.72,2.1,FavOver,-1,-1,2.75,-1,1.1
ITALY,SERIAA,19/20,25/08/19,Away,Milan,0,0,6,0,11,4,3,0,Udinese,0,1,11,6,14,9,1,0,Favourite,Draw,Lose,1,2.05,3.3,3.75,2.1,1.72,FavUnder,-1,-1,2.75,-1,0.72
ITALY,SERIAA,19/20,15/12/19,Away,Atalanta,0,1,15,7,18,4,1,0,Bologna,1,2,8,5,14,4,5,1,Favourite,Lose,Lose,3,1.95,3.75,3.75,1.57,2.37,FavOver,-1,-1,2.75,0.57,-1
ITALY,SERIAA,19/20,01/07/20,Home,Fiorentina,0,1,11,7,20,8,4,0,Sassuolo,2,3,8,8,12,3,2,0,Favourite,Lose,Lose,4,2.05,3.5,3.6,1.72,2.1,FavOver,-1,-1,2.6,0.72,-1
ITALY,SERIAA,19/20,26/01/20,Away,Juventus,0,1,7,5,14,2,5,0,Napoli,0,2,11,4,14,3,2,0,Favourite,Draw,Lose,3,2.05,3.6,3.6,1.61,2.3,FavOver,-1,-1,2.6,0.61,-1
ITALY,SERIAA,19/20,08/02/20,Home,Torino,0,1,2,2,16,2,3,1,Sampdoria,0,3,8,6,19,3,5,0,Favourite,Draw,Lose,4,2.15,3.3,3.5,2.1,1.72,FavUnder,-1,-1,2.5,1.1,-1
ITALY,SERIAA,19/20,23/06/20,Home,Genoa,0,1,9,3,15,1,1,0,Parma,2,4,11,8,15,3,2,0,Favourite,Lose,Lose,5,2.15,3.3,3.5,2.1,1.72,FavUnder,-1,-1,2.5,1.1,-1
ITALY,SERIAA,19/20,07/07/20,Away,Juventus,0,2,9,4,16,6,1,0,Milan,0,4,9,9,14,2,4,0,Favourite,Draw,Lose,6,2.15,3.3,3.5,1.9,1.9,FavUnder,-1,-1,2.5,0.9,-1
