Country,League,Season,Date,Homeoraway,Team,HTTeamGoals,TeamGoals,TeamShots,TeamShotsOnTarget,TeamFouls,TeamCorners,TeamYellow,TeamRed,Opponent,HTOpponentGoals,OpponentGoals,OpponentShots,OpponentShotOnTarget,OpponentFouls,OpponentCorners,OpponentYellow,OpponentRed,FavouriteResult,HTResult,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,OddsOver2.5Goals,OddsUnder2.5Goals,FavouriteOU2.5,ResultBetWin,ResultBetDraw,ResultBetLose,ResultBetOver2.5,ResultBetUnder2.5
ENGLAND,PREM,15/16,02/02/16,Away,Swansea,0,1,18,4,13,7,0,0,West Brom,0,1,17,7,12,7,0,0,NotFavourite,Draw,Draw,2,3.1,3.1,2.63,2.71,1.45,FavUnder,-1,2.1,-1,-1,0.45
ENGLAND,PREM,15/16,03/02/16,Away,Chelsea,0,0,12,4,13,7,1,0,Watford,0,0,12,3,10,7,2,0,Favourite,Draw,Draw,0,1.95,3.5,4.33,2.23,1.65,FavUnder,-1,2.5,-1,-1,0.65
ENGLAND,PREM,15/16,06/02/16,Away,Sunderland,0,2,7,2,12,2,1,0,Liverpool,0,2,16,5,4,7,1,0,NotFavourite,Draw,Draw,4,8.5,4.75,1.44,1.76,2.04,FavOver,-1,3.75,-1,0.76,-1
ENGLAND,PREM,15/16,06/02/16,Away,Leicester,1,3,14,7,15,4,2,0,Man City,0,1,22,4,9,11,2,0,NotFavourite,Win,Win,4,6,4.2,1.62,1.7,2.12,FavOver,5,-1,-1,0.7,-1
ENGLAND,PREM,15/16,06/02/16,Away,Everton,3,3,14,6,8,4,0,0,Stoke,0,0,11,3,11,6,1,0,NotFavourite,Win,Win,3,2.8,3.4,2.7,1.98,1.81,FavUnder,1.8,-1,-1,0.98,-1
ENGLAND,PREM,15/16,06/02/16,Away,Crystal Palace,0,1,12,2,14,5,2,0,Swansea,1,1,19,3,11,9,1,0,NotFavourite,Lose,Draw,2,3.6,3.3,2.25,2.36,1.57,FavUnder,-1,2.3,-1,-1,0.57
ENGLAND,PREM,15/16,07/02/16,Away,Arsenal,2,2,10,5,8,3,1,0,Bournemouth,0,0,17,4,6,7,0,0,Favourite,Win,Win,2,2.1,3.5,3.8,2.02,1.77,FavUnder,1.1,-1,-1,-1,0.77
ENGLAND,PREM,15/16,07/02/16,Away,Man United,0,1,17,7,9,11,3,0,Chelsea,0,1,16,5,6,10,0,0,NotFavourite,Draw,Draw,2,3.9,3.3,2.15,2.34,1.58,FavUnder,-1,2.3,-1,-1,0.58
ENGLAND,PREM,15/16,13/02/16,Away,Stoke,1,3,11,6,18,2,2,0,Bournemouth,0,1,11,2,7,9,4,0,NotFavourite,Win,Win,4,4.1,3.4,2.05,2.14,1.7,FavUnder,3.1,-1,-1,1.14,-1
ENGLAND,PREM,15/16,13/02/16,Away,Watford,1,2,10,3,16,5,2,0,Crystal Palace,1,1,14,7,11,8,0,0,NotFavourite,Draw,Win,3,3.6,3.3,2.25,2.34,1.59,FavUnder,2.6,-1,-1,1.34,-1
