in,AwayTeam,HomeTeam,AwayOdds,HomeOdds,AwayScore,HomeScore
Y1d1HFc0,Atlanta Hawks,Golden State Warriors,1.83,2.04,117,111
4SicIerf,Philadelphia 76ers,Memphis Grizzlies,1.62,2.4,100,116
rD3lKHDs,Boston Celtics,Charlotte Hornets,1.22,4.64,116,86
QyggJyTm,Los Angeles Clippers,Los Angeles Lakers,1.16,5.67,104,86
WzyLypqF,Chicago Bulls,Brooklyn Nets,2.12,1.76,115,107
bNxDw6E2,Portland Trail Blazers,Oklahoma City Thunder,1.11,7.18,133,85
xEyHxQT8,Sacramento Kings,Milwaukee Bucks,2.3,1.67,128,129
KvYXF2Me,San Antonio Spurs,Indiana Pacers,1.36,3.32,133,139
bVWyFMy2,Utah Jazz,Orlando Magic,1.07,10.06,137,91
6XicM4qS,Detroit Pistons,New York Knicks,2.15,1.75,81,125
CEUPHOiq,Miami Heat,Cleveland Cavaliers,1.11,7.09,115,101
QHYTGr7k,Philadelphia 76ers,Minnesota Timberwolves,1.09,8.19,122,113
StggNpUL,Washington Wizards,Dallas Mavericks,2.94,1.43,87,109
xh0tQnp3,Phoenix Suns,Oklahoma City Thunder,1.09,8.54,140,103
KGkoP6a9,Portland Trail Blazers,Milwaukee Bucks,2.31,1.66,109,127
b7lkOQEF,Sacramento Kings,Los Angeles Lakers,1.54,2.59,94,115
Q3ge2qhd,New Orleans Pelicans,Atlanta Hawks,2.03,1.83,103,126
v7swRSUd,Utah Jazz,Chicago Bulls,1.14,6.28,113,106
Uy0n45Nq,Indiana Pacers,Charlotte Hornets,1.51,2.69,97,114
nDfi3Pxj,Memphis Grizzlies,Minnesota Timberwolves,1.36,3.29,120,108
Y5EG9RaM,Boston Celtics,Houston Rockets,1.14,6.35,118,102
SSDK8oFS,New York Knicks,Dallas Mavericks,2.78,1.48,86,99
SrpMsCB5,Toronto Raptors,Golden State Warriors,1.51,2.7,130,77
K2ACA7pG,Los Angeles Clippers,Denver Nuggets,1.79,2.1,94,101
xvL7BmV9,San Antonio Spurs,Atlanta Hawks,1.86,1.99,129,134
jNMaD90c,Miami Heat,Golden State Warriors,1.69,2.24,116,109
bmM3CTF3,New Orleans Pelicans,Orlando Magic,1.47,2.77,110,115
CWNeEkoi,Brooklyn Nets,Charlotte Hornets,1.7,2.23,111,89
ARqDk68j,Cleveland Cavaliers,Philadelphia 76ers,4.69,1.21,94,114
lt3gBmxt,Detroit Pistons,Washington Wizards,1.95,1.9,120,91
vqgseSpT,Los Angeles Lakers,Milwaukee Bucks,3.9,1.28,97,112
dOu9jngp,Phoenix Suns,Chicago Bulls,1.29,3.81,121,116
0hfwd8VM,San Antonio Spurs,Sacramento Kings,1.71,2.2,120,106
4Q0UcU0A,Memphis Grizzlies,Utah Jazz,2.94,1.43,107,111
rHaYdlGG,Minnesota Timberwolves,New York Knicks,2.3,1.66,102,101
lhoIrhda,Oklahoma City Thunder,Toronto Raptors,3.54,1.32,113,103
bTcMajWc,Boston Celtics,Dallas Mavericks,1.9,1.96,108,113
A31QbAo4,Brooklyn Nets,Houston Rockets,1.1,7.89,120,108
xE9D1C1o,Detroit Pistons,Portland Trail Blazers,3.7,1.3,101,124
G48H0WGi,Indiana Pacers,Miami Heat,2.01,1.85,87,92
lbGVxTOp,Los Angeles Clippers,Orlando Magic,1.15,6.07,96,103
nDtOe8xg,Phoenix Suns,Atlanta Hawks,1.44,2.92,117,110
nkU3s9GT,Denver Nuggets,Philadelphia 76ers,1.47,2.81,104,95
4Qvark1N,Washington Wizards,Charlotte Hornets,2.59,1.54,104,114
jNzeqVoH,Los Angeles Clippers,Milwaukee Bucks,2.0,1.87,129,105
d0yipBWA,Golden State Warriors,Chicago Bulls,1.82,2.05,116,102
I9xmoiH4,Utah Jazz,Cleveland Cavaliers,1.05,12.14,114,75
Cd7nmDnh,San Antonio Spurs,Sacramento Kings,1.74,2.17,115,132
WGjDqYtg,Detroit Pistons,Toronto Raptors,2.78,1.47,118,104
4W3vkZHu,Houston Rockets,Memphis Grizzlies,3.85,1.28,110,120
IZ7rlgXo,Oklahoma City Thunder,Dallas Mavericks,6.09,1.14,106,127
faBQbkU6,Boston Celtics,New Orleans Pelicans,1.69,2.24,109,115
OYFUc9qD,Brooklyn Nets,Minnesota Timberwolves,1.16,5.6,112,107
2PEYdTbJ,New York Knicks,Miami Heat,2.34,1.64,88,98
G8CMaVE0,Washington Wizards,Indiana Pacers,3.4,1.34,132,124
YqNH0Baf,Los Angeles Lakers,Orlando Magic,1.35,3.33,96,93
M9JD1ipl,Denver Nuggets,Atlanta Hawks,1.51,2.66,126,102
hQi9pERn,Toronto Raptors,Portland Trail Blazers,2.17,1.73,117,122
SnK92XUs,Charlotte Hornets,Phoenix Suns,3.11,1.4,97,101
82ww8g7K,Los Angeles Clippers,Philadelphia 76ers,1.48,2.78,122,112
QwYs7DMQ,Sacramento Kings,Cleveland Cavaliers,1.25,4.24,100,98
25nmoWa7,New Orleans Pelicans,Dallas Mavericks,1.46,2.82,112,103
G8jipjFD,Oklahoma City Thunder,Boston Celtics,3.16,1.39,94,111
UBvZ8ZiE,Utah Jazz,Memphis Grizzlies,1.24,4.31,126,110
KtcrnCp1,San Antonio Spurs,Chicago Bulls,1.85,2.0,120,104
YPbzlYFl,Milwaukee Bucks,New York Knicks,2.15,1.74,96,102
tjbvmhVf,Minnesota Timberwolves,Houston Rockets,1.53,2.6,107,129
nTx5YhG1,Washington Wizards,Detroit Pistons,1.45,2.86,106,92
h6w1ZY0e,Los Angeles Lakers,Cleveland Cavaliers,1.56,2.52,100,86
fLKczFok,Golden State Warriors,Atlanta Hawks,3.28,1.36,108,124
CdVhyeWr,Utah Jazz,Memphis Grizzlies,1.18,5.16,117,114
AmqRuyOR,Dallas Mavericks,Indiana Pacers,2.03,1.83,94,109
6enAqJO2,Charlotte Hornets,Miami Heat,2.07,1.81,110,105
2NuJscgF,Minnesota Timberwolves,Houston Rockets,1.57,2.49,107,101
tEvNtH8L,New Orleans Pelicans,Denver Nuggets,2.18,1.72,108,113
KbjErwv9,Orlando Magic,Portland Trail Blazers,4.79,1.2,105,112
hhbSKZo2,Milwaukee Bucks,Boston Celtics,1.44,2.9,114,122
fZaWlE0r,Toronto Raptors,Phoenix Suns,2.38,1.63,100,104
E1aOLFWe,Detroit Pistons,Brooklyn Nets,3.22,1.37,111,113
faqNNy2q,Los Angeles Lakers,Philadelphia 76ers,3.01,1.42,101,109
YkrRMeHk,Sacramento Kings,Golden State Warriors,1.56,2.54,141,119
xKdeSHgS,San Antonio Spurs,Los Angeles Clippers,2.01,1.83,85,98
th3nUwPF,Miami Heat,Portland Trail Blazers,2.21,1.71,122,125
OGhiTcvM,New York Knicks,Washington Wizards,1.7,2.23,106,102
214rVJ99,Sacramento Kings,Atlanta Hawks,2.27,1.68,110,108
YRavWaf3,Utah Jazz,Brooklyn Nets,1.1,7.78,118,88
fy1zXuuc,San Antonio Spurs,Los Angeles Clippers,3.0,1.42,101,134
A9dGRp3H,Chicago Bulls,Cleveland Cavaliers,1.34,3.44,94,103
nZJqAIXq,Houston Rockets,Charlotte Hornets,2.47,1.58,97,122
tdJm9xmj,Minnesota Timberwolves,Dallas Mavericks,3.85,1.28,108,128
hWMi8d2d,Oklahoma City Thunder,Memphis Grizzlies,3.28,1.36,107,116
hY1BSQmB,Orlando Magic,Phoenix Suns,4.67,1.21,112,111
Es37T6Y4,Milwaukee Bucks,Boston Celtics,1.38,3.23,121,119
lhN3gfhR,Toronto Raptors,Denver Nuggets,2.05,1.81,135,111
KK33UnJb,Indiana Pacers,Detroit Pistons,1.32,3.58,116,111
OhAfW8ln,Golden State Warriors,Philadelphia 76ers,2.5,1.57,98,108
6HaaVS3h,Portland Trail Blazers,Brooklyn Nets,1.73,2.18,112,116
p2BjXlZu,Miami Heat,Phoenix Suns,2.09,1.79,100,110
8SKoC53U,New Orleans Pelicans,Los Angeles Lakers,1.44,2.89,128,111
UyMsDolO,New York Knicks,Washington Wizards,1.69,2.25,131,113
nDWxERYH,Orlando Magic,Denver Nuggets,3.61,1.31,99,110
Y9SYE7JB,Los Angeles Clippers,Atlanta Hawks,1.42,2.99,119,110
rLZLH9Zh,Chicago Bulls,Utah Jazz,4.62,1.22,95,120
zkJafzwL,Houston Rockets,Toronto Raptors,4.02,1.27,117,99
0dUQGTla,Memphis Grizzlies,Boston Celtics,1.55,2.57,132,126
vmTUFm45,Milwaukee Bucks,Indiana Pacers,1.37,3.25,140,113
4UzIIkKn,San Antonio Spurs,Charlotte Hornets,1.49,2.72,97,100
A7yEJV4t,Minnesota Timberwolves,Oklahoma City Thunder,1.5,2.7,103,112
zFpnOBdP,Cleveland Cavaliers,Sacramento Kings,2.52,1.56,105,119
fJ7a084I,Phoenix Suns,Los Angeles Lakers,1.19,5.03,111,94
Y963aSJO,Portland Trail Blazers,Dallas Mavericks,2.09,1.79,92,132
Qq3e1lkC,New York Knicks,Philadelphia 76ers,1.97,1.88,100,101
4UEn3AKa,Brooklyn Nets,Washington Wizards,1.25,4.17,113,106
tSJeeGNE,Cleveland Cavaliers,Toronto Raptors,3.46,1.33,116,105
ng4i2UZ5,Detroit Pistons,Chicago Bulls,2.33,1.65,86,100
2k85wRMO,Boston Celtics,Orlando Magic,1.25,4.17,112,96
d4Bv5Wkm,Denver Nuggets,New Orleans Pelicans,1.4,3.09,108,113
YHbml8H0,Houston Rockets,Oklahoma City Thunder,1.52,2.66,112,114
IDCz6Czs,Miami Heat,Indiana Pacers,1.63,2.38,106,109
Eq8FAhSP,Los Angeles Clippers,Charlotte Hornets,1.22,4.6,125,98
zg9BBYCJ,Milwaukee Bucks,San Antonio Spurs,1.13,6.43,120,113
MkLTnkzJ,Memphis Grizzlies,Golden State Warriors,1.39,3.16,111,103
8nHPmVKC,Philadelphia 76ers,Sacramento Kings,1.56,2.54,129,105
QNRKlB56,Los Angeles Lakers,Atlanta Hawks,1.59,2.45,94,99
IcOCjXzf,Phoenix Suns,Minnesota Timberwolves,1.15,5.81,113,101
nXSGkij0,Portland Trail Blazers,Dallas Mavericks,2.22,1.69,125,119
v7P8iDLm,Denver Nuggets,Chicago Bulls,1.34,3.42,131,127
zuUxcZcQ,Houston Rockets,Detroit Pistons,1.73,2.16,100,113
drz4hg6s,Memphis Grizzlies,Golden State Warriors,1.38,3.18,103,116
2RVUbeTD,Miami Heat,Indiana Pacers,1.56,2.55,110,137
tIUYcFrK,Orlando Magic,Brooklyn Nets,5.38,1.17,121,113
2yLidd88,Toronto Raptors,Utah Jazz,2.63,1.53,112,115
Q9nnzCjD,Boston Celtics,Sacramento Kings,1.35,3.34,96,107
dGLOqiLU,Cleveland Cavaliers,San Antonio Spurs,2.7,1.5,110,116
nJmryhy7,Los Angeles Lakers,Charlotte Hornets,1.33,3.48,116,105
vgpzwE6f,Phoenix Suns,Minnesota Timberwolves,1.16,5.82,119,123
hdlvxYL0,Portland Trail Blazers,New Orleans Pelicans,1.84,2.01,101,93
IwdRvzxr,Atlanta Hawks,Oklahoma City Thunder,1.3,3.72,116,93
dUfVwfil,New York Knicks,Orlando Magic,1.49,2.75,94,93
Ob91v77I,Washington Wizards,Utah Jazz,5.56,1.16,131,122
CvYcd27F,Dallas Mavericks,Los Angeles Clippers,2.16,1.75,105,89
YmZgcrh9,Denver Nuggets,Charlotte Hornets,1.38,3.18,129,104
jPqkbOx3,Memphis Grizzlies,Miami Heat,1.96,1.9,89,85
pShay1Vk,Cleveland Cavaliers,Boston Celtics,3.61,1.31,117,110
xMuoa4Nd,Houston Rockets,Golden State Warriors,5.76,1.16,94,108
OIi3zLpd,Chicago Bulls,San Antonio Spurs,1.81,2.05,99,106
QJy9XCV7,Detroit Pistons,Toronto Raptors,3.04,1.41,116,112
WKCOs3hM,Indiana Pacers,Brooklyn Nets,1.81,2.07,115,124
QsCStN7S,Philadelphia 76ers,Milwaukee Bucks,2.99,1.43,105,109
SjbfxsGq,Washington Wizards,Sacramento Kings,1.89,1.96,119,121
4j0APrFt,Los Angeles Lakers,Minnesota Timberwolves,1.29,3.77,137,121
SQxssBpE,Portland Trail Blazers,New Orleans Pelicans,1.79,2.09,125,124
GxWeJ7h7,Chicago Bulls,Oklahoma City Thunder,1.36,3.29,123,102
ENlaIR7D,Houston Rockets,Atlanta Hawks,4.16,1.25,107,119
fNsmLTNf,Miami Heat,Cleveland Cavaliers,1.16,5.55,113,98
YDtiKmw1,Philadelphia 76ers,New York Knicks,1.34,3.43,99,96
QmwqM98l,Boston Celtics,Utah Jazz,2.38,1.63,109,117
ncvuNkgr,Golden State Warriors,Los Angeles Lakers,2.04,1.82,97,128
SCc8SBVK,Denver Nuggets,Indiana Pacers,1.57,2.53,121,106
tG1CRVpR,Phoenix Suns,Memphis Grizzlies,1.32,3.54,122,99
Ykb4TiGE,Dallas Mavericks,Los Angeles Clippers,1.98,1.88,99,109
faa0UX08,Brooklyn Nets,New York Knicks,1.28,3.96,117,112
dz47keig,Detroit Pistons,San Antonio Spurs,2.03,1.83,99,109
GGfL6U81,Charlotte Hornets,Sacramento Kings,1.66,2.31,122,116
f7gP5lO7,Washington Wizards,Milwaukee Bucks,4.16,1.25,122,133
fugNMtaa,Chicago Bulls,Toronto Raptors,1.61,2.38,118,95
MgeH7Age,New Orleans Pelicans,Los Angeles Clippers,2.97,1.43,135,115
QR189WOr,Houston Rockets,Boston Celtics,5.83,1.15,107,134
8jiD8jvk,Minnesota Timberwolves,Portland Trail Blazers,2.74,1.49,114,112
OIFtECGR,Atlanta Hawks,Cleveland Cavaliers,1.46,2.85,100,82
fqBxFh1L,Orlando Magic,Miami Heat,3.55,1.32,97,102
GhCYFYoF,Philadelphia 76ers,San Antonio Spurs,1.52,2.64,134,99
YTMTGEW8,Golden State Warriors,Utah Jazz,3.55,1.32,131,119
MgJPHfH2,Oklahoma City Thunder,Memphis Grizzlies,3.99,1.27,128,122
8jVsgBv2,Denver Nuggets,Dallas Mavericks,1.87,1.99,103,116
4jYjKrLA,Phoenix Suns,Indiana Pacers,1.35,3.39,111,122
UaWwfiPe,Minnesota Timberwolves,Portland Trail Blazers,2.72,1.49,121,125
COyZfX9k,Atlanta Hawks,Sacramento Kings,1.57,2.49,121,106
Ghj30gnS,Brooklyn Nets,Detroit Pistons,1.15,5.97,100,95
0IgJNMqg,Charlotte Hornets,Toronto Raptors,1.73,2.18,114,104
YXxVeDfq,Washington Wizards,Milwaukee Bucks,7.59,1.1,119,125
2kna1ZWL,Oklahoma City Thunder,New York Knicks,2.56,1.55,97,119
KQdf2FHF,Los Angeles Lakers,Indiana Pacers,1.54,2.6,105,100
tzbj3e29,Utah Jazz,Houston Rockets,1.03,14.83,114,99
88pq5HXd,Chicago Bulls,Miami Heat,2.1,1.78,90,101
naqm4ym3,San Antonio Spurs,Orlando Magic,1.33,3.48,104,77
h02dsEuj,Memphis Grizzlies,Denver Nuggets,2.25,1.68,102,103
6360tYfd,New Orleans Pelicans,Cleveland Cavaliers,1.36,3.28,116,82
bw3hrfQq,Washington Wizards,Philadelphia 76ers,2.4,1.62,101,127
02NHldmG,Los Angeles Clippers,Golden State Warriors,1.35,3.41,130,104
vgMLmG2M,Portland Trail Blazers,Phoenix Suns,2.64,1.52,121,127
dUGQnzIS,Sacramento Kings,Houston Rockets,1.4,3.08,125,105
6uODkxY9,Oklahoma City Thunder,Dallas Mavericks,2.13,1.76,116,108
YkW0hvli,Chicago Bulls,Philadelphia 76ers,1.65,2.32,105,127
pzwJTfBj,Miami Heat,Orlando Magic,1.25,4.23,111,103
CtV4ib3c,Milwaukee Bucks,New York Knicks,1.16,5.66,134,101
f5K9jII3,New Orleans Pelicans,Minnesota Timberwolves,1.29,3.82,105,135
6qvFUzdp,Brooklyn Nets,Boston Celtics,1.72,2.19,121,109
MRfFO2Un,Toronto Raptors,Atlanta Hawks,2.33,1.64,120,121
QoQpn3RH,Charlotte Hornets,Detroit Pistons,1.54,2.59,105,102
CrMtmqCB,Dallas Mavericks,San Antonio Spurs,1.55,2.56,115,104
ILMxlPd5,Memphis Grizzlies,Washington Wizards,1.65,2.31,127,112
E9oaF9Hs,Team Durant,Team LeBron,2.54,1.56,150,170
jm8H5q6H,Phoenix Suns,Golden State Warriors,1.12,7.07,120,98
lMdiDYIm,Portland Trail Blazers,Sacramento Kings,1.54,2.61,123,119
YeiMIfeQ,San Antonio Spurs,Oklahoma City Thunder,1.35,3.39,102,107
facmEE3s,New Orleans Pelicans,Miami Heat,2.1,1.79,93,103
OQ9VeXmD,Indiana Pacers,Denver Nuggets,2.43,1.61,103,113
jX1HJztK,Memphis Grizzlies,Milwaukee Bucks,3.06,1.41,111,112
O8WtmGtr,New York Knicks,Detroit Pistons,1.35,3.35,114,104
AZgOFRvn,Boston Celtics,Toronto Raptors,1.29,3.87,132,125
Ct3DKGQD,Washington Wizards,Los Angeles Clippers,4.01,1.27,119,117
2BLMcgJ0,Portland Trail Blazers,Golden State Warriors,1.98,1.88,108,106
pzBRdDY6,Sacramento Kings,Los Angeles Lakers,1.59,2.47,123,120
l8HIbZ3f,Dallas Mavericks,Oklahoma City Thunder,1.5,2.71,87,78
GfJA0eZs,Minnesota Timberwolves,Charlotte Hornets,2.14,1.75,102,135
foIEaFll,New Orleans Pelicans,Chicago Bulls,1.42,2.99,124,128
vDGs7cdE,Orlando Magic,Atlanta Hawks,2.23,1.7,112,115
CQEk5yRQ,Houston Rockets,Brooklyn Nets,5.27,1.18,114,132
Q9Cw8ws8,Cleveland Cavaliers,Indiana Pacers,3.24,1.37,111,114
YZFo6HBK,Philadelphia 76ers,Utah Jazz,2.4,1.62,131,123
WreKG7Pu,Toronto Raptors,Detroit Pistons,1.32,3.58,105,129
Myncaow8,Los Angeles Lakers,Phoenix Suns,1.97,1.89,104,114
EBrk178e,Milwaukee Bucks,Denver Nuggets,1.31,3.64,97,128
romg0RN1,San Antonio Spurs,New York Knicks,2.07,1.81,119,93
hdft3Twq,Boston Celtics,Los Angeles Clippers,2.73,1.5,117,112
zLqo2mgk,Miami Heat,Atlanta Hawks,1.77,2.12,80,94
I33E79VR,Washington Wizards,Memphis Grizzlies,1.9,1.96,111,125
Ot4A8kGL,Portland Trail Blazers,Charlotte Hornets,1.3,3.74,123,111
lOBcBiW2,Houston Rockets,Cleveland Cavaliers,1.69,2.26,90,101
pj569V0F,San Antonio Spurs,Brooklyn Nets,2.51,1.58,113,124
zLNFn8g2,Chicago Bulls,Denver Nuggets,2.53,1.56,112,118
SEA1ABo9,New Orleans Pelicans,Utah Jazz,3.27,1.37,129,124
vgU6lUOk,Orlando Magic,Dallas Mavericks,3.32,1.36,124,130
MHJBmlvd,Philadelphia 76ers,Indiana Pacers,1.63,2.38,130,114
02V2kA9q,Sacramento Kings,Charlotte Hornets,1.62,2.4,126,127
4IUXfWoM,Minnesota Timberwolves,Phoenix Suns,5.26,1.18,99,118
zwwHbEnc,Detroit Pistons,New York Knicks,2.01,1.85,90,109
MguTeCWF,Houston Rockets,Memphis Grizzlies,2.43,1.6,84,133
r9Tyfj1S,Los Angeles Lakers,Golden State Warriors,1.7,2.24,117,91
ETyLcY13,Miami Heat,Atlanta Hawks,1.73,2.18,109,99
8jyPdhH9,Boston Celtics,Washington Wizards,1.38,3.18,111,110
bLgYZU9d,Milwaukee Bucks,Los Angeles Clippers,1.82,2.06,105,100
KUfUzBfj,Brooklyn Nets,Dallas Mavericks,1.94,1.92,98,115
Q9zpdLQb,San Antonio Spurs,New Orleans Pelicans,2.12,1.76,117,114
fquleut5,New York Knicks,Indiana Pacers,1.9,1.95,110,107
Q7eQyiup,Oklahoma City Thunder,Denver Nuggets,3.22,1.38,96,126
YZwhfaeB,Orlando Magic,Utah Jazz,4.65,1.21,109,124
nJytc1Bh,Philadelphia 76ers,Cleveland Cavaliers,1.15,5.88,109,112
GbTdgJAH,Washington Wizards,Minnesota Timberwolves,1.58,2.47,128,112
jirXbNtt,Golden State Warriors,Charlotte Hornets,1.4,3.11,130,121
4fnybsdn,Los Angeles Lakers,Portland Trail Blazers,1.5,2.73,102,93
fTjQu0tI,Chicago Bulls,Phoenix Suns,3.16,1.39,97,106
8ClEr2da,Detroit Pistons,Sacramento Kings,2.02,1.84,107,110
zu8NvKeO,Memphis Grizzlies,Los Angeles Clippers,3.56,1.32,99,119
GxhMttRB,Miami Heat,Utah Jazz,3.03,1.42,124,116
EV6RwvBU,Oklahoma City Thunder,Atlanta Hawks,2.77,1.48,118,109
MFhIsMB5,Boston Celtics,Indiana Pacers,1.72,2.2,118,112
I1l89jIC,Toronto Raptors,Houston Rockets,1.37,3.24,122,111
Qma9qrsg,Milwaukee Bucks,New Orleans Pelicans,1.3,3.72,129,125
nc05pORn,Denver Nuggets,Washington Wizards,1.29,3.82,110,112
INe1o4Ct,Memphis Grizzlies,Los Angeles Clippers,3.7,1.3,122,94
E9VjR0RO,Brooklyn Nets,Orlando Magic,1.25,4.14,129,92
GE9Zkp4P,New York Knicks,Sacramento Kings,1.86,2.0,140,121
GOCmStCI,Philadelphia 76ers,Dallas Mavericks,1.51,2.68,111,97
M1DqTMdC,Utah Jazz,Los Angeles Lakers,1.27,3.99,114,89
rBEuU2s6,Phoenix Suns,Charlotte Hornets,1.23,4.38,121,124
hMLSW4cm,Chicago Bulls,Minnesota Timberwolves,1.52,2.65,133,126
Ovk4AW26,Miami Heat,Toronto Raptors,1.79,2.1,116,108
nqLWVOCg,New Orleans Pelicans,Detroit Pistons,1.15,5.88,128,118
QZJzVrSa,Oklahoma City Thunder,San Antonio Spurs,1.95,1.89,102,99
YyudxRZP,Atlanta Hawks,Boston Celtics,2.01,1.85,127,112
vJHOXprs,Cleveland Cavaliers,Houston Rockets,2.72,1.49,112,96
fothw7KJ,Indiana Pacers,Golden State Warriors,1.75,2.16,107,111
llg6F3SC,Denver Nuggets,Portland Trail Blazers,1.41,3.06,111,106
SvhAENsJ,Los Angeles Clippers,Washington Wizards,1.13,6.39,135,116
6P31GqD6,Milwaukee Bucks,Minnesota Timberwolves,1.17,5.44,139,112
K81kJoTm,Brooklyn Nets,Sacramento Kings,1.42,3.01,127,118
hMacHPc0,Dallas Mavericks,Boston Celtics,2.16,1.75,110,107
ba0gI5rf,New York Knicks,Golden State Warriors,2.41,1.62,106,114
plj0BCm0,Toronto Raptors,Philadelphia 76ers,2.18,1.74,102,109
0OKIO75Q,Cleveland Cavaliers,Atlanta Hawks,3.68,1.31,112,111
2X6pKRDs,Orlando Magic,Detroit Pistons,1.57,2.53,93,105
61LEPmjK,Los Angeles Lakers,Washington Wizards,1.37,3.24,124,127
pdzK36T0,Oklahoma City Thunder,Miami Heat,3.3,1.36,94,108
hMwS1pbD,Phoenix Suns,Portland Trail Blazers,1.41,3.08,132,100
fRHAQTzE,Utah Jazz,Charlotte Hornets,1.12,7.03,132,110
EVvO2Qr7,Dallas Mavericks,Memphis Grizzlies,1.55,2.56,102,92
65yG4nEf,Houston Rockets,Chicago Bulls,1.94,1.91,100,120
IsKwOzFF,Milwaukee Bucks,Sacramento Kings,1.18,5.18,128,115
Awr768qr,Los Angeles Clippers,Brooklyn Nets,1.39,3.18,108,112
viLZOGa9,Atlanta Hawks,Denver Nuggets,2.22,1.71,123,115
CUlwQdp3,New York Knicks,Minnesota Timberwolves,1.65,2.32,103,99
YwjZQxVd,Orlando Magic,Detroit Pistons,1.64,2.34,105,96
SCeeChYg,Toronto Raptors,Philadelphia 76ers,2.32,1.66,110,103
Kz2i2ghd,Cleveland Cavaliers,Oklahoma City Thunder,2.25,1.69,101,117
6Xcm3Zxj,New Orleans Pelicans,Boston Celtics,2.16,1.75,120,115
MaMG8eFS,Portland Trail Blazers,Washington Wizards,1.53,2.61,111,118
KzQaCwG3,Chicago Bulls,Sacramento Kings,1.95,1.9,122,114
EZI8AHpG,Memphis Grizzlies,Phoenix Suns,3.16,1.39,97,128
hQHC9y0M,Los Angeles Lakers,Miami Heat,1.64,2.37,94,96
QDQeDJ0c,Charlotte Hornets,Golden State Warriors,2.15,1.75,102,100
A5r9kG8j,Los Angeles Clippers,Utah Jazz,1.95,1.91,116,112
rsXMiLi3,Minnesota Timberwolves,Toronto Raptors,2.26,1.68,81,86
I73UdbGG,Memphis Grizzlies,Detroit Pistons,1.54,2.61,109,95
0WhZeIVM,Milwaukee Bucks,Oklahoma City Thunder,1.16,5.6,98,85
EZdwexoT,New Orleans Pelicans,Phoenix Suns,2.39,1.62,114,132
vH4Qcv1A,Boston Celtics,Atlanta Hawks,1.52,2.65,121,109
Wj5MbKo4,Philadelphia 76ers,Chicago Bulls,1.39,3.13,112,105
G4tEPvNb,Cleveland Cavaliers,Denver Nuggets,4.28,1.24,103,120
h06Ia0Wc,Orlando Magic,Golden State Warriors,2.71,1.5,124,120
rVORxwPp,Los Angeles Lakers,Brooklyn Nets,1.7,2.26,98,109
dYC91M1o,Sacramento Kings,Miami Heat,1.91,1.95,110,118
4jYIh1xc,Milwaukee Bucks,Toronto Raptors,1.33,3.48,96,110
Oprera1N,Golden State Warriors,Miami Heat,1.83,2.04,120,112
tMx0sJGT,Los Angeles Clippers,Utah Jazz,3.21,1.39,96,114
0bTboznU,Memphis Grizzlies,Oklahoma City Thunder,1.36,3.3,122,113
jXqmpLWA,New Orleans Pelicans,Portland Trail Blazers,1.59,2.47,124,126
MgJlaVNE,Chicago Bulls,Detroit Pistons,1.69,2.25,105,102
hnRqo1H4,Minnesota Timberwolves,Indiana Pacers,2.82,1.46,128,134
2cYWm3Xo,Washington Wizards,Denver Nuggets,2.6,1.54,130,128
WWxymNnh,Boston Celtics,Atlanta Hawks,1.8,2.08,114,122
ANyuns2b,Philadelphia 76ers,Houston Rockets,1.26,4.12,118,113
O6ZSlqIu,Orlando Magic,New York Knicks,2.38,1.63,107,89
ljIGoDjI,Phoenix Suns,Brooklyn Nets,1.32,3.6,124,128
jc3BlF6a,Memphis Grizzlies,New Orleans Pelicans,2.02,1.84,113,144
jmpyUHad,Milwaukee Bucks,Toronto Raptors,1.43,2.99,113,124
Um2FmZL5,Minnesota Timberwolves,Los Angeles Lakers,3.12,1.39,104,112
AaJCngyC,Oklahoma City Thunder,Portland Trail Blazers,2.81,1.47,104,115
rXa3jyxm,Boston Celtics,Denver Nuggets,1.79,2.1,112,99
zTgmp0FD,Golden State Warriors,Cleveland Cavaliers,1.2,4.94,129,98
OrmV8qhE,Los Angeles Clippers,Miami Heat,2.62,1.54,125,118
08AbiHMt,Sacramento Kings,Brooklyn Nets,2.64,1.52,125,136
dxeqot07,Utah Jazz,Philadelphia 76ers,1.27,3.91,134,123
ED5vnMp1,New York Knicks,Atlanta Hawks,2.04,1.83,123,112
8G2WmrGl,Indiana Pacers,Chicago Bulls,1.52,2.66,112,120
2w2zm2Vf,Washington Wizards,Houston Rockets,1.81,2.06,131,119
GINieQNE,Denver Nuggets,Los Angeles Lakers,2.3,1.67,122,105
UP3SlO0r,Los Angeles Clippers,Cleveland Cavaliers,1.23,4.41,128,111
lWLag4hR,Sacramento Kings,Memphis Grizzlies,1.78,2.12,110,124
AuNefpwL,Phoenix Suns,Orlando Magic,1.14,6.17,109,90
2FJmd688,Oklahoma City Thunder,Milwaukee Bucks,6.73,1.12,114,109
SrScZr1e,Dallas Mavericks,Portland Trail Blazers,1.46,2.87,118,121
0Au5XMV7,Charlotte Hornets,San Antonio Spurs,2.47,1.59,110,122
vDtXUcpj,Toronto Raptors,Minnesota Timberwolves,1.29,3.79,112,116
2wbK5qRh,Detroit Pistons,New Orleans Pelicans,2.83,1.46,123,112
4KoclEge,Washington Wizards,Boston Celtics,3.38,1.35,104,91
lhTgzPok,Utah Jazz,Miami Heat,1.36,3.33,112,94
6Twky5Wr,Golden State Warriors,Brooklyn Nets,2.36,1.64,117,134
