Country,League,Season,Date,Homeoraway,Team,TeamGoals,Opponent,OpponentGoals,Favourite,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,ResultBetWin,ResultBetDraw,ResultBetLose
SPAIN,LALIGA,20/21,2021/05/22,Away,Sociedad,1,Osasuna,0,Favourite,Win,1,1.61,4.33,5,0.61,-1,-1
SPAIN,LALIGA,20/21,2021/05/22,Away,Ath Madrid,2,Valladolid,1,Favourite,Win,3,1.33,5.25,9,0.33,-1,-1
GERMANY,BUND,20/21,2021/05/22,Home,Wolfsburg,2,Mainz,3,Favourite,Lose,5,1.6,4.2,5.25,-1,-1,4.25
GERMANY,BUND,20/21,2021/05/22,Away,RB Leipzig,1,Union Berlin,2,Favourite,Lose,3,2.2,3.75,3,-1,-1,2
GERMANY,BUND,20/21,2021/05/22,Home,Stuttgart,0,Bielefeld,2,Favourite,Lose,2,2.37,3.75,2.75,-1,-1,1.75
GERMANY,BUND,20/21,2021/05/22,Home,Werder Bremen,2,M'gladbach,4,NotFavourite,Lose,6,2.7,4,2.37,-1,-1,1.37
GERMANY,BUND,20/21,2021/05/22,Away,Freiburg,1,Ein Frankfurt,3,NotFavourite,Lose,4,3.1,4.33,2,-1,-1,1
GERMANY,BUND,20/21,2021/05/22,Away,Hertha,1,Hoffenheim,2,NotFavourite,Lose,3,3.8,3.8,1.9,-1,-1,0.9
GERMANY,BUND,20/21,2021/05/22,Away,Leverkusen,1,Dortmund,3,NotFavourite,Lose,4,6,4.5,1.5,-1,-1,0.5
GERMANY,BUND,20/21,2021/05/22,Away,Schalke 04,0,FC Koln,1,NotFavourite,Lose,1,8.5,5.5,1.33,-1,-1,0.33
GERMANY,BUND,20/21,2021/05/22,Away,Augsburg,2,Bayern Munich,5,NotFavourite,Lose,7,17,9,1.12,-1,-1,0.12
GERMANY,BUND,20/21,2021/05/22,Home,Bayern Munich,5,Augsburg,2,Favourite,Win,7,1.12,9,17,0.12,-1,-1
GERMANY,BUND,20/21,2021/05/22,Home,Dortmund,3,Leverkusen,1,Favourite,Win,4,1.5,4.5,6,0.5,-1,-1
GERMANY,BUND,20/21,2021/05/22,Home,Ein Frankfurt,3,Freiburg,1,Favourite,Win,4,2,4.33,3.1,1,-1,-1
GERMANY,BUND,20/21,2021/05/22,Home,FC Koln,1,Schalke 04,0,Favourite,Win,1,1.33,5.5,8.5,0.33,-1,-1
GERMANY,BUND,20/21,2021/05/22,Home,Hoffenheim,2,Hertha,1,Favourite,Win,3,1.9,3.8,3.8,0.9,-1,-1
GERMANY,BUND,20/21,2021/05/22,Home,Union Berlin,2,RB Leipzig,1,NotFavourite,Win,3,3,3.75,2.2,2,-1,-1
GERMANY,BUND,20/21,2021/05/22,Away,Bielefeld,2,Stuttgart,0,NotFavourite,Win,2,2.75,3.75,2.37,1.75,-1,-1
GERMANY,BUND,20/21,2021/05/22,Away,M'gladbach,4,Werder Bremen,2,Favourite,Win,6,2.37,4,2.7,1.37,-1,-1
GERMANY,BUND,20/21,2021/05/22,Away,Mainz,3,Wolfsburg,2,NotFavourite,Win,5,5.25,4.2,1.6,4.25,-1,-1
SPAIN,LALIGA,20/21,2021/05/21,Home,Levante,2,Cadiz,2,Favourite,Draw,4,1.75,4.1,4.1,-1,3.1,-1
SPAIN,LALIGA,20/21,2021/05/21,Away,Cadiz,2,Levante,2,NotFavourite,Draw,4,4.1,4.1,1.75,-1,3.1,-1
