Country,League,Season,Date,Team,Homeoraway,TeamOdds,TeamScore,Opponent,OpponentOdds,OpponentScore,Result,Favourite,TotalScorePred,TotalScore,ResultBetWin,ResultBetLose,TotalfromPred,TeamWinPred,TeamScorePred,ScoredfromPred,OpponentWinPred,OpponentScorePred,ReceivedfromPred
USA,NBA,20/21,2021/01/22,Dallas Mavericks,Away,1.78,122,San Antonio Spurs,2.1,117,Win,Favourite,220,239,0.78,-1,19,54%,111,11,46%,109,8
USA,NBA,20/21,2021/01/22,Denver Nuggets,Away,1.98,130,Phoenix Suns,1.89,126,Win,NotFavourite,221,256,0.98,-1,35,44%,109,21,56%,112,14
USA,NBA,20/21,2021/01/22,Houston Rockets,Away,2.26,103,Detroit Pistons,1.69,102,Win,NotFavourite,221,205,1.26,-1,-16,49%,110,-7,51%,111,-9
USA,NBA,20/21,2021/01/22,Miami Heat,Away,2.16,81,Toronto Raptors,1.74,101,Lose,NotFavourite,225,182,-1,0.74,-43,45%,111,-30,55%,114,-13
USA,NBA,20/21,2021/01/22,New York Knicks,Away,2.4,94,Sacramento Kings,1.62,103,Lose,NotFavourite,221,197,-1,0.62,-24,55%,112,-18,45%,109,-6
USA,NBA,20/21,2021/01/22,Oklahoma City Thunder,Away,8.23,106,Los Angeles Clippers,1.09,120,Lose,NotFavourite,219,226,-1,0.09,7,23%,105,1,77%,114,6
USA,NBA,20/21,2021/01/22,Orlando Magic,Away,2.67,118,Indiana Pacers,1.51,120,Lose,NotFavourite,219,238,-1,0.51,19,25%,105,13,75%,114,6
USA,NBA,20/21,2021/01/22,Minnesota Timberwolves,Home,3.05,98,Atlanta Hawks,1.41,116,Lose,NotFavourite,229,214,-1,0.41,-15,34%,111,-13,66%,118,-2
USA,NBA,20/21,2021/01/22,Philadelphia 76ers,Home,1.53,122,Boston Celtics,2.63,110,Win,Favourite,222,232,0.53,-1,10,42%,109,13,58%,113,-3
USA,NBA,20/21,2021/01/22,Cleveland Cavaliers,Home,3.21,125,Brooklyn Nets,1.38,113,Win,NotFavourite,218,238,2.21,-1,20,28%,105,20,72%,113,0
USA,NBA,20/21,2021/01/22,Charlotte Hornets,Home,1.66,110,Chicago Bulls,2.3,123,Lose,Favourite,228,233,-1,1.3,5,60%,116,-6,40%,112,11
USA,NBA,20/21,2021/01/22,San Antonio Spurs,Home,2.1,117,Dallas Mavericks,1.78,122,Lose,NotFavourite,220,239,-1,0.78,19,46%,109,8,54%,111,11
USA,NBA,20/21,2021/01/22,Phoenix Suns,Home,1.89,126,Denver Nuggets,1.98,130,Lose,Favourite,221,256,-1,0.98,35,56%,112,14,44%,109,21
USA,NBA,20/21,2021/01/22,Detroit Pistons,Home,1.69,102,Houston Rockets,2.26,103,Lose,Favourite,221,205,-1,1.26,-16,51%,111,-9,49%,110,-7
USA,NBA,20/21,2021/01/22,Toronto Raptors,Home,1.74,101,Miami Heat,2.16,81,Win,Favourite,225,182,0.74,-1,-43,55%,114,-13,45%,111,-30
USA,NBA,20/21,2021/01/22,Sacramento Kings,Home,1.62,103,New York Knicks,2.4,94,Win,Favourite,221,197,0.62,-1,-24,45%,109,-6,55%,112,-18
USA,NBA,20/21,2021/01/22,Los Angeles Clippers,Home,1.09,120,Oklahoma City Thunder,8.23,106,Win,Favourite,219,226,0.09,-1,7,77%,114,6,23%,105,1
USA,NBA,20/21,2021/01/22,Indiana Pacers,Home,1.51,120,Orlando Magic,2.67,118,Win,Favourite,219,238,0.51,-1,19,75%,114,6,25%,105,13
USA,NBA,20/21,2021/01/23,Denver Nuggets,Away,1.72,120,Phoenix Suns,2.2,112,Win,Favourite,221,232,0.72,-1,11,44%,109,11,56%,112,0
USA,NBA,20/21,2021/01/23,Golden State Warriors,Away,3.4,108,Utah Jazz,1.35,127,Lose,NotFavourite,217,235,-1,0.35,18,30%,105,3,70%,112,15
USA,NBA,20/21,2021/01/23,Houston Rockets,Away,3.44,133,Dallas Mavericks,1.34,108,Win,NotFavourite,216,241,2.44,-1,25,34%,105,28,66%,111,-3
USA,NBA,20/21,2021/01/23,Los Angeles Lakers,Away,1.2,101,Chicago Bulls,4.91,90,Win,Favourite,229,191,0.2,-1,-38,79%,120,-19,21%,109,-19
USA,NBA,20/21,2021/01/23,Miami Heat,Away,3.66,124,Brooklyn Nets,1.31,128,Lose,NotFavourite,231,252,-1,0.31,21,36%,113,11,64%,118,10
USA,NBA,20/21,2021/01/23,New Orleans Pelicans,Away,1.27,110,Minnesota Timberwolves,4.01,120,Lose,Favourite,224,230,-1,3.01,6,67%,115,-5,33%,109,11
USA,NBA,20/21,2021/01/23,Philadelphia 76ers,Away,1.28,114,Detroit Pistons,3.91,110,Win,Favourite,221,224,0.28,-1,3,58%,112,2,42%,109,1
USA,NBA,20/21,2021/01/23,Phoenix Suns,Home,2.2,112,Denver Nuggets,1.72,120,Lose,NotFavourite,221,232,-1,0.72,11,56%,112,0,44%,109,11
USA,NBA,20/21,2021/01/23,Utah Jazz,Home,1.35,127,Golden State Warriors,3.4,108,Win,Favourite,217,235,0.35,-1,18,70%,112,15,30%,105,3
USA,NBA,20/21,2021/01/23,Dallas Mavericks,Home,1.34,108,Houston Rockets,3.44,133,Lose,Favourite,216,241,-1,2.44,25,66%,111,-3,34%,105,28
USA,NBA,20/21,2021/01/23,Chicago Bulls,Home,4.91,90,Los Angeles Lakers,1.2,101,Lose,NotFavourite,229,191,-1,0.2,-38,21%,109,-19,79%,120,-19
USA,NBA,20/21,2021/01/23,Brooklyn Nets,Home,1.31,128,Miami Heat,3.66,124,Win,Favourite,231,252,0.31,-1,21,64%,118,10,36%,113,11
USA,NBA,20/21,2021/01/23,Minnesota Timberwolves,Home,4.01,120,New Orleans Pelicans,1.27,110,Win,NotFavourite,224,230,3.01,-1,6,33%,109,11,67%,115,-5
USA,NBA,20/21,2021/01/23,Detroit Pistons,Home,3.91,110,Philadelphia 76ers,1.28,114,Lose,NotFavourite,221,224,-1,0.28,3,42%,109,1,58%,112,2
USA,NBA,20/21,2021/01/24,Atlanta Hawks,Away,6.71,115,Milwaukee Bucks,1.13,129,Lose,NotFavourite,229,244,-1,0.13,15,32%,111,4,68%,118,11
USA,NBA,20/21,2021/01/24,Charlotte Hornets,Away,1.78,107,Orlando Magic,2.1,104,Win,Favourite,212,211,0.78,-1,-1,59%,108,-1,41%,104,0
USA,NBA,20/21,2021/01/24,Cleveland Cavaliers,Away,3.05,103,Boston Celtics,1.41,141,Lose,NotFavourite,212,244,-1,0.41,32,32%,103,0,68%,109,32
USA,NBA,20/21,2021/01/24,New York Knicks,Away,2.47,113,Portland Trail Blazers,1.59,116,Lose,NotFavourite,213,229,-1,0.59,16,42%,105,8,58%,108,8
USA,NBA,20/21,2021/01/24,Oklahoma City Thunder,Away,7.62,100,Los Angeles Clippers,1.1,108,Lose,NotFavourite,219,208,-1,0.1,-11,19%,104,-4,81%,115,-7
USA,NBA,20/21,2021/01/24,Toronto Raptors,Away,2.58,107,Indiana Pacers,1.55,102,Win,NotFavourite,223,209,1.58,-1,-14,49%,111,-4,51%,112,-10
USA,NBA,20/21,2021/01/24,Washington Wizards,Away,2.96,101,San Antonio Spurs,1.43,121,Lose,NotFavourite,236,222,-1,0.43,-14,41%,116,-15,59%,120,1
USA,NBA,20/21,2021/01/24,Milwaukee Bucks,Home,1.13,129,Atlanta Hawks,6.71,115,Win,Favourite,229,244,0.13,-1,15,68%,118,11,32%,111,4
USA,NBA,20/21,2021/01/24,Orlando Magic,Home,2.1,104,Charlotte Hornets,1.78,107,Lose,NotFavourite,212,211,-1,0.78,-1,41%,104,0,59%,108,-1
USA,NBA,20/21,2021/01/24,Boston Celtics,Home,1.41,141,Cleveland Cavaliers,3.05,103,Win,Favourite,212,244,0.41,-1,32,68%,109,32,32%,103,0
USA,NBA,20/21,2021/01/24,Portland Trail Blazers,Home,1.59,116,New York Knicks,2.47,113,Win,Favourite,213,229,0.59,-1,16,58%,108,8,42%,105,8
USA,NBA,20/21,2021/01/24,Los Angeles Clippers,Home,1.1,108,Oklahoma City Thunder,7.62,100,Win,Favourite,219,208,0.1,-1,-11,81%,115,-7,19%,104,-4
USA,NBA,20/21,2021/01/24,Indiana Pacers,Home,1.55,102,Toronto Raptors,2.58,107,Lose,Favourite,223,209,-1,1.58,-14,51%,112,-10,49%,111,-4
USA,NBA,20/21,2021/01/24,San Antonio Spurs,Home,1.43,121,Washington Wizards,2.96,101,Win,Favourite,236,222,0.43,-1,-14,59%,120,1,41%,116,-15
USA,NBA,20/21,2021/01/25,Boston Celtics,Away,1.59,119,Chicago Bulls,2.45,103,Win,Favourite,229,222,0.59,-1,-7,55%,116,3,45%,113,-10
USA,NBA,20/21,2021/01/25,Charlotte Hornets,Away,1.98,108,Orlando Magic,1.88,117,Lose,NotFavourite,212,225,-1,0.88,13,59%,108,0,41%,104,13
USA,NBA,20/21,2021/01/25,Denver Nuggets,Away,1.75,117,Dallas Mavericks,2.15,113,Win,Favourite,227,230,0.75,-1,3,56%,115,2,44%,112,1
USA,NBA,20/21,2021/01/25,Los Angeles Lakers,Away,1.13,115,Cleveland Cavaliers,6.61,108,Win,Favourite,209,223,0.13,-1,14,80%,110,5,20%,99,9
USA,NBA,20/21,2021/01/25,Miami Heat,Away,3.62,85,Brooklyn Nets,1.31,98,Lose,NotFavourite,235,183,-1,0.31,-52,38%,115,-30,62%,120,-22
USA,NBA,20/21,2021/01/25,Minnesota Timberwolves,Away,4.11,108,Golden State Warriors,1.26,130,Lose,NotFavourite,225,238,-1,0.26,13,32%,109,-1,68%,116,14
USA,NBA,20/21,2021/01/25,Oklahoma City Thunder,Away,2.7,125,Portland Trail Blazers,1.5,122,Win,NotFavourite,227,247,1.7,-1,20,37%,111,14,63%,116,6
USA,NBA,20/21,2021/01/25,Philadelphia 76ers,Away,1.49,104,Detroit Pistons,2.73,119,Lose,Favourite,222,223,-1,1.73,1,64%,114,-10,36%,108,11
USA,NBA,20/21,2021/01/25,Toronto Raptors,Away,2.14,114,Indiana Pacers,1.75,129,Lose,NotFavourite,223,243,-1,0.75,20,49%,111,3,51%,112,17
USA,NBA,20/21,2021/01/25,Chicago Bulls,Home,2.45,103,Boston Celtics,1.59,119,Lose,NotFavourite,229,222,-1,0.59,-7,45%,113,-10,55%,116,3
USA,NBA,20/21,2021/01/25,Orlando Magic,Home,1.88,117,Charlotte Hornets,1.98,108,Win,Favourite,212,225,0.88,-1,13,41%,104,13,59%,108,0
USA,NBA,20/21,2021/01/25,Dallas Mavericks,Home,2.15,113,Denver Nuggets,1.75,117,Lose,NotFavourite,227,230,-1,0.75,3,44%,112,1,56%,115,2
USA,NBA,20/21,2021/01/25,Cleveland Cavaliers,Home,6.61,108,Los Angeles Lakers,1.13,115,Lose,NotFavourite,209,223,-1,0.13,14,20%,99,9,80%,110,5
USA,NBA,20/21,2021/01/25,Brooklyn Nets,Home,1.31,98,Miami Heat,3.62,85,Win,Favourite,235,183,0.31,-1,-52,62%,120,-22,38%,115,-30
USA,NBA,20/21,2021/01/25,Golden State Warriors,Home,1.26,130,Minnesota Timberwolves,4.11,108,Win,Favourite,225,238,0.26,-1,13,68%,116,14,32%,109,-1
USA,NBA,20/21,2021/01/25,Portland Trail Blazers,Home,1.5,122,Oklahoma City Thunder,2.7,125,Lose,Favourite,227,247,-1,1.7,20,63%,116,6,37%,111,14
USA,NBA,20/21,2021/01/25,Detroit Pistons,Home,2.73,119,Philadelphia 76ers,1.49,104,Win,NotFavourite,222,223,1.73,-1,1,36%,108,11,64%,114,-10
USA,NBA,20/21,2021/01/25,Indiana Pacers,Home,1.75,129,Toronto Raptors,2.14,114,Win,Favourite,223,243,0.75,-1,20,51%,112,17,49%,111,3
USA,NBA,20/21,2021/01/26,Los Angeles Clippers,Away,2.87,99,Atlanta Hawks,1.45,108,Lose,NotFavourite,220,207,-1,0.45,-13,65%,113,-14,35%,107,1
USA,NBA,20/21,2021/01/26,New York Knicks,Away,5.79,94,Utah Jazz,1.16,108,Lose,NotFavourite,206,202,-1,0.16,-4,26%,99,-5,74%,107,1
USA,NBA,20/21,2021/01/26,Washington Wizards,Away,2.36,88,Houston Rockets,1.64,107,Lose,NotFavourite,234,195,-1,0.64,-39,47%,116,-28,53%,118,-11
USA,NBA,20/21,2021/01/26,Atlanta Hawks,Home,1.45,108,Los Angeles Clippers,2.87,99,Win,Favourite,220,207,0.45,-1,-13,35%,107,1,65%,113,-14
USA,NBA,20/21,2021/01/26,Utah Jazz,Home,1.16,108,New York Knicks,5.79,94,Win,Favourite,206,202,0.16,-1,-4,74%,107,1,26%,99,-5
USA,NBA,20/21,2021/01/26,Houston Rockets,Home,1.64,107,Washington Wizards,2.36,88,Win,Favourite,234,195,0.64,-1,-39,53%,118,-11,47%,116,-28
USA,NBA,20/21,2021/01/27,Boston Celtics,Away,1.55,106,San Antonio Spurs,2.58,110,Lose,Favourite,223,216,-1,1.58,-7,49%,111,-5,51%,112,-2
USA,NBA,20/21,2021/01/27,Brooklyn Nets,Away,1.44,132,Atlanta Hawks,2.9,128,Win,Favourite,235,260,0.44,-1,25,52%,118,14,48%,117,11
USA,NBA,20/21,2021/01/27,Dallas Mavericks,Away,2.1,104,Utah Jazz,1.78,116,Lose,NotFavourite,218,220,-1,0.78,2,33%,106,-2,67%,112,4
USA,NBA,20/21,2021/01/27,Denver Nuggets,Away,1.42,109,Miami Heat,3.02,82,Win,Favourite,226,191,0.42,-1,-35,58%,115,-6,42%,111,-29
USA,NBA,20/21,2021/01/27,Detroit Pistons,Away,2.1,107,Cleveland Cavaliers,1.78,122,Lose,NotFavourite,215,229,-1,0.78,14,49%,107,0,51%,108,14
USA,NBA,20/21,2021/01/27,Indiana Pacers,Away,1.69,116,Charlotte Hornets,2.26,106,Win,Favourite,220,222,0.69,-1,2,53%,111,5,47%,109,-3
USA,NBA,20/21,2021/01/27,Los Angeles Lakers,Away,1.55,106,Philadelphia 76ers,2.58,107,Lose,Favourite,219,213,-1,1.58,-6,62%,112,-6,38%,107,0
USA,NBA,20/21,2021/01/27,Milwaukee Bucks,Away,1.39,115,Toronto Raptors,3.16,108,Win,Favourite,227,223,0.39,-1,-4,63%,116,-1,37%,111,-3
USA,NBA,20/21,2021/01/27,Minnesota Timberwolves,Away,4.23,111,Golden State Warriors,1.25,123,Lose,NotFavourite,225,234,-1,0.25,9,32%,109,2,68%,116,7
USA,NBA,20/21,2021/01/27,Oklahoma City Thunder,Away,3.77,102,Phoenix Suns,1.29,97,Win,NotFavourite,215,199,2.77,-1,-16,31%,104,-2,69%,111,-14
USA,NBA,20/21,2021/01/27,Sacramento Kings,Away,2.02,121,Orlando Magic,1.85,107,Win,NotFavourite,227,228,1.02,-1,1,45%,112,9,55%,115,-8
USA,NBA,20/21,2021/01/27,Washington Wizards,Away,3.81,106,New Orleans Pelicans,1.29,124,Lose,NotFavourite,235,230,-1,0.29,-5,51%,118,-12,49%,117,7
USA,NBA,20/21,2021/01/27,San Antonio Spurs,Home,2.58,110,Boston Celtics,1.55,106,Win,NotFavourite,223,216,1.58,-1,-7,51%,112,-2,49%,111,-5
USA,NBA,20/21,2021/01/27,Atlanta Hawks,Home,2.9,128,Brooklyn Nets,1.44,132,Lose,NotFavourite,235,260,-1,0.44,25,48%,117,11,52%,118,14
USA,NBA,20/21,2021/01/27,Utah Jazz,Home,1.78,116,Dallas Mavericks,2.1,104,Win,Favourite,218,220,0.78,-1,2,67%,112,4,33%,106,-2
USA,NBA,20/21,2021/01/27,Miami Heat,Home,3.02,82,Denver Nuggets,1.42,109,Lose,NotFavourite,226,191,-1,0.42,-35,42%,111,-29,58%,115,-6
USA,NBA,20/21,2021/01/27,Cleveland Cavaliers,Home,1.78,122,Detroit Pistons,2.1,107,Win,Favourite,215,229,0.78,-1,14,51%,108,14,49%,107,0
USA,NBA,20/21,2021/01/27,Charlotte Hornets,Home,2.26,106,Indiana Pacers,1.69,116,Lose,NotFavourite,220,222,-1,0.69,2,47%,109,-3,53%,111,5
USA,NBA,20/21,2021/01/27,Philadelphia 76ers,Home,2.58,107,Los Angeles Lakers,1.55,106,Win,NotFavourite,219,213,1.58,-1,-6,38%,107,0,62%,112,-6
USA,NBA,20/21,2021/01/27,Toronto Raptors,Home,3.16,108,Milwaukee Bucks,1.39,115,Lose,NotFavourite,227,223,-1,0.39,-4,37%,111,-3,63%,116,-1
USA,NBA,20/21,2021/01/27,Golden State Warriors,Home,1.25,123,Minnesota Timberwolves,4.23,111,Win,Favourite,225,234,0.25,-1,9,68%,116,7,32%,109,2
USA,NBA,20/21,2021/01/27,Phoenix Suns,Home,1.29,97,Oklahoma City Thunder,3.77,102,Lose,Favourite,215,199,-1,2.77,-16,69%,111,-14,31%,104,-2
USA,NBA,20/21,2021/01/27,Orlando Magic,Home,1.85,107,Sacramento Kings,2.02,121,Lose,Favourite,227,228,-1,1.02,1,55%,115,-8,45%,112,9
USA,NBA,20/21,2021/01/27,New Orleans Pelicans,Home,1.29,124,Washington Wizards,3.81,106,Win,Favourite,235,230,0.29,-1,-5,49%,117,7,51%,118,-12
USA,NBA,20/21,2021/01/28,Golden State Warriors,Away,2.08,93,Phoenix Suns,1.8,114,Lose,NotFavourite,219,207,-1,0.8,-12,39%,107,-14,61%,112,2
USA,NBA,20/21,2021/01/28,Los Angeles Clippers,Away,2.14,109,Miami Heat,1.76,105,Win,NotFavourite,219,214,1.14,-1,-5,69%,113,-4,31%,106,-1
USA,NBA,20/21,2021/01/28,Los Angeles Lakers,Away,1.32,92,Detroit Pistons,3.6,107,Lose,Favourite,218,199,-1,2.6,-19,78%,114,-22,22%,104,3
USA,NBA,20/21,2021/01/28,Portland Trail Blazers,Away,2.59,101,Houston Rockets,1.54,104,Lose,NotFavourite,227,205,-1,0.54,-22,49%,113,-12,51%,114,-10
USA,NBA,20/21,2021/01/28,Phoenix Suns,Home,1.8,114,Golden State Warriors,2.08,93,Win,Favourite,219,207,0.8,-1,-12,61%,112,2,39%,107,-14
USA,NBA,20/21,2021/01/28,Miami Heat,Home,1.76,105,Los Angeles Clippers,2.14,109,Lose,Favourite,219,214,-1,1.14,-5,31%,106,-1,69%,113,-4
USA,NBA,20/21,2021/01/28,Detroit Pistons,Home,3.6,107,Los Angeles Lakers,1.32,92,Win,NotFavourite,218,199,2.6,-1,-19,22%,104,3,78%,114,-22
USA,NBA,20/21,2021/01/28,Houston Rockets,Home,1.54,104,Portland Trail Blazers,2.59,101,Win,Favourite,227,205,0.54,-1,-22,51%,114,-10,49%,113,-12
USA,NBA,20/21,2021/01/29,Atlanta Hawks,Away,1.63,116,Washington Wizards,2.38,100,Win,Favourite,234,216,0.63,-1,-18,53%,118,-2,47%,116,-16
USA,NBA,20/21,2021/01/29,Brooklyn Nets,Away,1.37,147,Oklahoma City Thunder,3.26,125,Win,Favourite,233,272,0.37,-1,39,66%,120,27,34%,113,12
USA,NBA,20/21,2021/01/29,Cleveland Cavaliers,Away,2.04,81,New York Knicks,1.83,102,Lose,NotFavourite,199,183,-1,0.83,-16,42%,98,-17,58%,101,1
USA,NBA,20/21,2021/01/29,Dallas Mavericks,Away,2.46,101,Utah Jazz,1.6,120,Lose,NotFavourite,218,221,-1,0.6,3,33%,106,-5,67%,112,8
USA,NBA,20/21,2021/01/29,Denver Nuggets,Away,1.57,109,San Antonio Spurs,2.5,119,Lose,Favourite,230,228,-1,1.5,-2,53%,116,-7,47%,114,5
USA,NBA,20/21,2021/01/29,Indiana Pacers,Away,1.61,105,Charlotte Hornets,2.42,108,Lose,Favourite,220,213,-1,1.42,-7,53%,111,-6,47%,109,-1
USA,NBA,20/21,2021/01/29,Los Angeles Clippers,Away,1.34,116,Orlando Magic,3.46,90,Win,Favourite,215,206,0.34,-1,-9,80%,113,3,20%,102,-12
USA,NBA,20/21,2021/01/29,Milwaukee Bucks,Away,1.36,126,New Orleans Pelicans,3.28,131,Lose,Favourite,230,257,-1,2.28,27,72%,119,7,28%,111,20
USA,NBA,20/21,2021/01/29,Philadelphia 76ers,Away,1.24,118,Minnesota Timberwolves,4.35,94,Win,Favourite,225,212,0.24,-1,-13,74%,117,1,26%,108,-14
USA,NBA,20/21,2021/01/29,Sacramento Kings,Away,2.55,126,Toronto Raptors,1.56,124,Win,NotFavourite,228,250,1.55,-1,22,29%,110,16,71%,118,6
USA,NBA,20/21,2021/01/29,Washington Wizards,Home,2.38,100,Atlanta Hawks,1.63,116,Lose,NotFavourite,234,216,-1,0.63,-18,47%,116,-16,53%,118,-2
USA,NBA,20/21,2021/01/29,Oklahoma City Thunder,Home,3.26,125,Brooklyn Nets,1.37,147,Lose,NotFavourite,233,272,-1,0.37,39,34%,113,12,66%,120,27
USA,NBA,20/21,2021/01/29,New York Knicks,Home,1.83,102,Cleveland Cavaliers,2.04,81,Win,Favourite,199,183,0.83,-1,-16,58%,101,1,42%,98,-17
USA,NBA,20/21,2021/01/29,Utah Jazz,Home,1.6,120,Dallas Mavericks,2.46,101,Win,Favourite,218,221,0.6,-1,3,67%,112,8,33%,106,-5
USA,NBA,20/21,2021/01/29,San Antonio Spurs,Home,2.5,119,Denver Nuggets,1.57,109,Win,NotFavourite,230,228,1.5,-1,-2,47%,114,5,53%,116,-7
USA,NBA,20/21,2021/01/29,Charlotte Hornets,Home,2.42,108,Indiana Pacers,1.61,105,Win,NotFavourite,220,213,1.42,-1,-7,47%,109,-1,53%,111,-6
USA,NBA,20/21,2021/01/29,Orlando Magic,Home,3.46,90,Los Angeles Clippers,1.34,116,Lose,NotFavourite,215,206,-1,0.34,-9,20%,102,-12,80%,113,3
USA,NBA,20/21,2021/01/29,New Orleans Pelicans,Home,3.28,131,Milwaukee Bucks,1.36,126,Win,NotFavourite,230,257,2.28,-1,27,28%,111,20,72%,119,7
USA,NBA,20/21,2021/01/29,Minnesota Timberwolves,Home,4.35,94,Philadelphia 76ers,1.24,118,Lose,NotFavourite,225,212,-1,0.24,-13,26%,108,-14,74%,117,1
USA,NBA,20/21,2021/01/29,Toronto Raptors,Home,1.56,124,Sacramento Kings,2.55,126,Lose,Favourite,228,250,-1,1.55,22,71%,118,6,29%,110,16
USA,NBA,20/21,2021/01/30,Detroit Pistons,Away,2.82,91,Golden State Warriors,1.46,118,Lose,NotFavourite,223,209,-1,0.46,-14,43%,110,-19,57%,113,5
USA,NBA,20/21,2021/01/30,Houston Rockets,Away,2.12,126,New Orleans Pelicans,1.78,112,Win,NotFavourite,221,238,1.12,-1,17,52%,111,15,48%,110,2
USA,NBA,20/21,2021/01/30,Los Angeles Lakers,Away,1.62,96,Boston Celtics,2.41,95,Win,Favourite,216,191,0.62,-1,-25,67%,111,-15,33%,105,-10
USA,NBA,20/21,2021/01/30,Memphis Grizzlies,Away,2.39,129,San Antonio Spurs,1.62,112,Win,NotFavourite,217,241,1.39,-1,24,49%,108,21,51%,109,3
USA,NBA,20/21,2021/01/30,Milwaukee Bucks,Away,1.23,114,Charlotte Hornets,4.42,126,Lose,Favourite,224,240,-1,3.42,16,70%,116,-2,30%,108,18
USA,NBA,20/21,2021/01/30,Phoenix Suns,Away,1.97,111,Dallas Mavericks,1.88,105,Win,NotFavourite,217,216,0.97,-1,-1,51%,109,2,49%,108,-3
USA,NBA,20/21,2021/01/30,Portland Trail Blazers,Away,2.07,123,Chicago Bulls,1.8,122,Win,NotFavourite,235,245,1.07,-1,10,50%,118,5,50%,117,5
USA,NBA,20/21,2021/01/30,Sacramento Kings,Away,3.15,104,Miami Heat,1.39,105,Lose,NotFavourite,229,209,-1,0.39,-20,32%,111,-7,68%,118,-13
USA,NBA,20/21,2021/01/30,Golden State Warriors,Home,1.46,118,Detroit Pistons,2.82,91,Win,Favourite,223,209,0.46,-1,-14,57%,113,5,43%,110,-19
USA,NBA,20/21,2021/01/30,New Orleans Pelicans,Home,1.78,112,Houston Rockets,2.12,126,Lose,Favourite,221,238,-1,1.12,17,48%,110,2,52%,111,15
USA,NBA,20/21,2021/01/30,Boston Celtics,Home,2.41,95,Los Angeles Lakers,1.62,96,Lose,NotFavourite,216,191,-1,0.62,-25,33%,105,-10,67%,111,-15
USA,NBA,20/21,2021/01/30,San Antonio Spurs,Home,1.62,112,Memphis Grizzlies,2.39,129,Lose,Favourite,217,241,-1,1.39,24,51%,109,3,49%,108,21
USA,NBA,20/21,2021/01/30,Charlotte Hornets,Home,4.42,126,Milwaukee Bucks,1.23,114,Win,NotFavourite,224,240,3.42,-1,16,30%,108,18,70%,116,-2
USA,NBA,20/21,2021/01/30,Dallas Mavericks,Home,1.88,105,Phoenix Suns,1.97,111,Lose,Favourite,217,216,-1,0.97,-1,49%,108,-3,51%,109,2
USA,NBA,20/21,2021/01/30,Chicago Bulls,Home,1.8,122,Portland Trail Blazers,2.07,123,Lose,Favourite,235,245,-1,1.07,10,50%,117,5,50%,118,5
USA,NBA,20/21,2021/01/30,Miami Heat,Home,1.39,105,Sacramento Kings,3.15,104,Win,Favourite,229,209,0.39,-1,-20,68%,118,-13,32%,111,-7
USA,NBA,20/21,2021/01/31,Brooklyn Nets,Away,1.39,146,Washington Wizards,3.15,149,Lose,Favourite,243,295,-1,2.15,52,67%,125,21,33%,118,31
USA,NBA,20/21,2021/01/31,Cleveland Cavaliers,Away,1.63,104,Minnesota Timberwolves,2.39,109,Lose,Favourite,220,213,-1,1.39,-7,58%,112,-8,42%,108,1
USA,NBA,20/21,2021/01/31,Los Angeles Clippers,Away,1.22,129,New York Knicks,4.57,115,Win,Favourite,205,244,0.22,-1,39,71%,106,23,29%,99,16
USA,NBA,20/21,2021/01/31,Orlando Magic,Away,2.89,102,Toronto Raptors,1.45,115,Lose,NotFavourite,216,217,-1,0.45,1,26%,104,-2,74%,112,3
USA,NBA,20/21,2021/01/31,Philadelphia 76ers,Away,2.26,119,Indiana Pacers,1.69,110,Win,NotFavourite,225,229,1.26,-1,4,51%,113,6,49%,112,-2
USA,NBA,20/21,2021/01/31,Utah Jazz,Away,1.66,117,Denver Nuggets,2.3,128,Lose,Favourite,225,245,-1,1.3,20,57%,114,3,43%,111,17
USA,NBA,20/21,2021/01/31,Washington Wizards,Home,3.15,149,Brooklyn Nets,1.39,146,Win,NotFavourite,243,295,2.15,-1,52,33%,118,31,67%,125,21
USA,NBA,20/21,2021/01/31,Minnesota Timberwolves,Home,2.39,109,Cleveland Cavaliers,1.63,104,Win,NotFavourite,220,213,1.39,-1,-7,42%,108,1,58%,112,-8
USA,NBA,20/21,2021/01/31,New York Knicks,Home,4.57,115,Los Angeles Clippers,1.22,129,Lose,NotFavourite,205,244,-1,0.22,39,29%,99,16,71%,106,23
USA,NBA,20/21,2021/01/31,Toronto Raptors,Home,1.45,115,Orlando Magic,2.89,102,Win,Favourite,216,217,0.45,-1,1,74%,112,3,26%,104,-2
USA,NBA,20/21,2021/01/31,Indiana Pacers,Home,1.69,110,Philadelphia 76ers,2.26,119,Lose,Favourite,225,229,-1,1.26,4,49%,112,-2,51%,113,6
USA,NBA,20/21,2021/01/31,Denver Nuggets,Home,2.3,128,Utah Jazz,1.66,117,Win,NotFavourite,225,245,1.3,-1,20,43%,111,17,57%,114,3
USA,NBA,20/21,2021/02/01,Charlotte Hornets,Away,3.58,129,Miami Heat,1.32,121,Win,NotFavourite,211,250,2.58,-1,39,44%,104,25,56%,107,14
USA,NBA,20/21,2021/02/01,Houston Rockets,Away,1.5,136,Oklahoma City Thunder,2.72,106,Win,Favourite,218,242,0.5,-1,24,58%,111,25,42%,107,-1
USA,NBA,20/21,2021/02/01,Los Angeles Lakers,Away,1.35,107,Atlanta Hawks,3.35,99,Win,Favourite,217,206,0.35,-1,-11,63%,111,-4,37%,106,-7
