Country,League,Season,Date,Team,Homeoraway,TeamOdds,TeamScore,Opponent,OpponentOdds,OpponentScore,Result,Favourite,TotalScorePred,TotalScore,ResultBetWin,ResultBetLose,TotalfromPred,TeamWinPred,TeamScorePred,ScoredfromPred,OpponentWinPred,OpponentScorePred,ReceivedfromPred
USA,NBA,20/21,2020/12/25,Boston Celtics,Home,2.3,95,Brooklyn Nets,1.66,123,Lose,NotFavourite,227,218,-1,0.66,-9,62%,116,-21,38%,111,12
USA,NBA,20/21,2020/12/25,Los Angeles Lakers,Home,1.37,138,Dallas Mavericks,3.22,115,Win,Favourite,224,253,0.37,-1,29,61%,114,24,39%,110,5
USA,NBA,20/21,2020/12/25,Milwaukee Bucks,Home,1.18,138,Golden State Warriors,5.15,99,Win,Favourite,226,237,0.18,-1,11,79%,118,20,21%,108,-9
USA,NBA,20/21,2020/12/25,Denver Nuggets,Home,2.42,108,Los Angeles Clippers,1.6,121,Lose,NotFavourite,227,229,-1,0.6,2,44%,112,-4,56%,115,6
USA,NBA,20/21,2020/12/25,Miami Heat,Home,1.67,111,New Orleans Pelicans,2.28,98,Win,Favourite,225,209,0.67,-1,-16,52%,113,-2,48%,112,-14
USA,NBA,20/21,2020/12/26,Atlanta Hawks,Away,2.19,122,Memphis Grizzlies,1.71,112,Win,NotFavourite,233,234,1.19,-1,1,50%,117,5,50%,116,-4
USA,NBA,20/21,2020/12/26,Cleveland Cavaliers,Away,1.97,128,Detroit Pistons,1.88,119,Win,NotFavourite,221,247,0.97,-1,26,44%,109,19,56%,112,7
USA,NBA,20/21,2020/12/26,Houston Rockets,Away,3.62,126,Portland Trail Blazers,1.31,128,Lose,NotFavourite,229,254,-1,0.31,25,57%,116,10,43%,113,15
USA,NBA,20/21,2020/12/26,Indiana Pacers,Away,1.43,125,Chicago Bulls,2.96,106,Win,Favourite,220,231,0.43,-1,11,66%,113,12,34%,107,-1
USA,NBA,20/21,2020/12/26,Minnesota Timberwolves,Away,4.41,116,Utah Jazz,1.23,111,Win,NotFavourite,224,227,3.41,-1,3,29%,108,8,71%,116,-5
USA,NBA,20/21,2020/12/26,Oklahoma City Thunder,Away,2.23,109,Charlotte Hornets,1.69,107,Win,NotFavourite,221,216,1.23,-1,-5,55%,112,-3,45%,109,-2
USA,NBA,20/21,2020/12/26,Orlando Magic,Away,2.09,130,Washington Wizards,1.78,120,Win,NotFavourite,225,250,1.09,-1,25,56%,114,16,44%,111,9
